Wavelength (nm),PkCsCl8-01_n,PkCsCl8-01_k
2081.66666666667,2.037809,0
1921.53846153846,2.042559,0
1784.28571428571,2.047521,0
1665.33333333333,2.052711,0
1561.25,2.058145,0
1469.41176470588,2.063842,0
1387.77777777778,2.069823,0
1314.73684210526,2.07611,0
1249,2.082729,0
1189.52380952381,2.089711,0
1135.45454545455,2.097088,0
1086.08695652174,2.104901,0
1040.83333333333,2.113197,0
999.2,2.122032,0
960.769230769231,2.131478,0
925.185185185185,2.141629,0
892.142857142857,2.152612,0
861.379310344828,2.164616,0
832.666666666667,2.177943,0
805.806451612903,2.193125,0
780.625,2.211218,0
756.969696969697,2.234601,0
734.705882352941,2.269297,0
713.714285714286,2.330216,0
693.888888888889,2.421079,0.041659
675.135135135135,2.429555,0.144265
657.368421052632,2.387282,0.173143
640.512820512821,2.37475,0.168236
624.5,2.382261,0.162583
609.268292682927,2.399689,0.161562
594.761904761905,2.422674,0.165731
580.93023255814,2.449139,0.175282
567.727272727273,2.477712,0.190619
555.111111111111,2.507054,0.212305
543.04347826087,2.535536,0.240856
531.489361702128,2.561104,0.276429
520.416666666667,2.581373,0.318442
509.795918367347,2.594003,0.365235
499.6,2.597356,0.414001
489.803921568627,2.591195,0.461209
480.384615384615,2.577015,0.503482
471.320754716981,2.557717,0.538576
462.592592592593,2.53674,0.565905
454.181818181818,2.517121,0.586435
446.071428571429,2.500916,0.602107
438.245614035088,2.489079,0.615194
430.689655172414,2.481645,0.627836
423.389830508475,2.478013,0.641804
416.333333333333,2.477189,0.658434
409.508196721311,2.477961,0.678648
402.903225806452,2.478998,0.702982
396.507936507937,2.478923,0.731624
390.3125,2.476353,0.764412
384.307692307692,2.469965,0.800837
378.484848484848,2.458572,0.840042
372.835820895522,2.441215,0.880838
367.352941176471,2.41727,0.92176
362.028985507246,2.386546,0.961171
356.857142857143,2.349334,0.997401
351.830985915493,2.30641,1.028916
346.944444444444,2.258965,1.054481
342.191780821918,2.20847,1.073272
337.567567567568,2.156517,1.084941
333.066666666667,2.104646,1.089594
328.684210526316,2.054216,1.087722
324.415584415584,2.006313,1.08009
320.25641025641,1.961717,1.067618
316.20253164557,1.92091,1.051275
312.25,1.884116,1.032001
