Wavelength (nm),MoOxamorph_n,MoOxamorph_k
736.721,2.052202,0.06903
738.304,2.052064,0.06973
739.888,2.051935,0.070429
741.471,2.051815,0.071125
743.054,2.051705,0.07182
744.637,2.051603,0.072513
746.22,2.051511,0.073205
747.803,2.051428,0.073894
749.385,2.051353,0.07458
750.968,2.051288,0.075265
752.55,2.051231,0.075947
754.132,2.051183,0.076627
755.715,2.051144,0.077304
757.297,2.051114,0.077979
758.879,2.051091,0.078651
760.46,2.051078,0.07932
762.042,2.051072,0.079986
763.624,2.051075,0.080649
765.205,2.051086,0.08131
766.787,2.051105,0.081967
768.368,2.051132,0.082621
769.949,2.051167,0.083272
771.53,2.05121,0.08392
773.111,2.05126,0.084564
774.692,2.051318,0.085205
776.273,2.051384,0.085842
777.853,2.051457,0.086476
779.434,2.051538,0.087106
781.014,2.051626,0.087733
782.594,2.051721,0.088356
784.174,2.051823,0.088975
785.754,2.051933,0.08959
787.334,2.052049,0.090201
788.914,2.052172,0.090808
790.493,2.052302,0.091412
792.073,2.052439,0.092011
793.652,2.052582,0.092606
795.231,2.052732,0.093197
796.81,2.052888,0.093784
798.389,2.053051,0.094366
799.968,2.053219,0.094945
801.547,2.053394,0.095518
803.125,2.053575,0.096088
804.704,2.053762,0.096653
806.282,2.053955,0.097214
807.86,2.054154,0.09777
809.438,2.054358,0.098322
811.016,2.054568,0.098869
812.594,2.054784,0.099412
814.172,2.055005,0.09995
815.749,2.055231,0.100483
817.327,2.055463,0.101012
818.904,2.0557,0.101536
820.481,2.055942,0.102055
822.058,2.056189,0.10257
823.635,2.056441,0.103079
825.212,2.056698,0.103585
826.788,2.056959,0.104085
828.365,2.057225,0.10458
829.941,2.057496,0.105071
831.517,2.057771,0.105557
833.093,2.058051,0.106038
834.669,2.058335,0.106514
836.245,2.058624,0.106985
837.821,2.058916,0.107451
839.396,2.059213,0.107912
840.972,2.059513,0.108369
842.547,2.059818,0.10882
844.122,2.060126,0.109267
845.697,2.060439,0.109708
847.272,2.060755,0.110145
848.846,2.061074,0.110577
850.421,2.061397,0.111003
851.995,2.061723,0.111425
853.569,2.062053,0.111842
855.143,2.062387,0.112254
856.717,2.062723,0.112661
858.291,2.063063,0.113063
859.865,2.063406,0.11346
861.438,2.063751,0.113852
863.012,2.0641,0.114239
864.585,2.064451,0.114621
866.158,2.064806,0.114998
867.731,2.065163,0.11537
869.304,2.065522,0.115738
870.876,2.065885,0.1161
872.449,2.066249,0.116458
874.021,2.066617,0.11681
875.593,2.066986,0.117158
877.165,2.067358,0.117501
878.737,2.067733,0.117839
880.309,2.068109,0.118172
881.881,2.068487,0.1185
883.452,2.068868,0.118824
885.023,2.06925,0.119142
886.594,2.069635,0.119456
888.165,2.070021,0.119765
889.736,2.070409,0.12007
891.307,2.070799,0.120369
892.877,2.071191,0.120664
894.448,2.071584,0.120954
896.018,2.071978,0.121239
897.588,2.072375,0.12152
899.158,2.072772,0.121796
900.727,2.073171,0.122067
902.297,2.073572,0.122334
903.866,2.073973,0.122596
905.436,2.074376,0.122854
907.005,2.07478,0.123107
908.574,2.075185,0.123355
910.142,2.075592,0.123599
911.711,2.075999,0.123838
913.279,2.076407,0.124073
914.848,2.076816,0.124303
916.416,2.077226,0.124529
917.984,2.077637,0.124751
919.551,2.078048,0.124968
921.119,2.078461,0.125181
922.687,2.078874,0.12539
924.254,2.079287,0.125594
925.821,2.079701,0.125794
927.388,2.080116,0.125989
928.955,2.080531,0.126181
930.521,2.080947,0.126368
932.088,2.081363,0.126551
933.654,2.081779,0.126729
935.22,2.082196,0.126904
936.786,2.082613,0.127075
938.352,2.08303,0.127241
939.918,2.083447,0.127404
941.483,2.083865,0.127562
943.048,2.084283,0.127716
944.613,2.084701,0.127867
946.178,2.085118,0.128013
947.743,2.085536,0.128156
949.308,2.085954,0.128294
950.872,2.086372,0.128429
952.436,2.086789,0.12856
954,2.087207,0.128687
955.564,2.087624,0.12881
957.128,2.088041,0.12893
958.691,2.088458,0.129046
960.255,2.088874,0.129158
961.818,2.089291,0.129266
963.381,2.089707,0.129371
964.944,2.090122,0.129472
966.506,2.090537,0.12957
968.069,2.090952,0.129664
969.631,2.091367,0.129755
971.193,2.09178,0.129842
972.755,2.092194,0.129925
974.317,2.092607,0.130005
975.878,2.093019,0.130082
977.44,2.09343,0.130155
979.001,2.093841,0.130225
980.562,2.094252,0.130292
982.123,2.094661,0.130355
983.683,2.095071,0.130415
985.244,2.095479,0.130472
986.804,2.095886,0.130526
988.364,2.096293,0.130576
989.924,2.096699,0.130624
991.484,2.097105,0.130668
993.043,2.097509,0.130709
994.603,2.097913,0.130747
996.162,2.098315,0.130782
997.721,2.098717,0.130813
999.28,2.099118,0.130842
1000,2.099118,0.130842
1020,2.099118,0.130842
1040,2.099118,0.130842
1060,2.099118,0.130842
1080,2.099118,0.130842
1100,2.099118,0.130842
1120,2.099118,0.130842
1140,2.099118,0.130842
1160,2.099118,0.130842
1180,2.099118,0.130842
1200,2.099118,0.130842
1220,2.099118,0.130842
1240,2.099118,0.130842
1260,2.099118,0.130842
1280,2.099118,0.130842
1300,2.099118,0.130842
