Wavelength (nm),ITOsput017E20_n,ITOsput017E20_k
250,2.447,0.4658
255,2.444,0.4411
260,2.441,0.4174
265,2.437,0.3948
270,2.433,0.373
275,2.428,0.3522
280,2.423,0.3323
285,2.418,0.3133
290,2.412,0.295
295,2.406,0.2776
300,2.4,0.2609
305,2.394,0.2449
310,2.387,0.2296
315,2.38,0.215
320,2.374,0.2011
325,2.366,0.1878
330,2.359,0.1751
335,2.352,0.163
340,2.345,0.1515
345,2.337,0.1405
350,2.33,0.13
355,2.323,0.1201
360,2.315,0.1106
365,2.308,0.1016
370,2.3,0.09312
375,2.293,0.08507
380,2.285,0.07746
385,2.278,0.07027
390,2.27,0.0635
395,2.263,0.05713
400,2.256,0.05115
405,2.248,0.04555
410,2.241,0.04033
415,2.234,0.03546
420,2.227,0.03095
425,2.22,0.02678
430,2.213,0.02294
435,2.206,0.01943
440,2.2,0.01624
445,2.193,0.01336
450,2.187,0.01079
455,2.18,0.00851
460,2.174,0.00652
465,2.168,0.00482
470,2.162,0.0034
475,2.157,0.00224
480,2.151,0.00135
485,2.146,0.000724
490,2.141,0.000349
495,2.136,0.000223
500,2.132,0.00023
505,2.128,0.000237
510,2.125,0.000244
515,2.121,0.000252
520,2.118,0.00026
525,2.114,0.000268
530,2.111,0.000276
535,2.108,0.000284
540,2.106,0.000293
545,2.103,0.000301
550,2.1,0.00031
555,2.098,0.000319
560,2.096,0.000328
565,2.093,0.000337
570,2.091,0.000346
575,2.089,0.000356
580,2.087,0.000365
585,2.085,0.000375
590,2.083,0.000385
595,2.081,0.000395
600,2.079,0.000406
605,2.077,0.000416
610,2.076,0.000427
615,2.074,0.000438
620,2.072,0.000449
625,2.071,0.00046
630,2.069,0.000472
635,2.068,0.000483
640,2.066,0.000495
645,2.065,0.000507
650,2.064,0.000519
655,2.062,0.000531
660,2.061,0.000544
665,2.06,0.000557
670,2.059,0.00057
675,2.057,0.000583
680,2.056,0.000596
685,2.055,0.00061
690,2.054,0.000623
695,2.053,0.000637
700,2.052,0.000651
705,2.051,0.000666
710,2.05,0.00068
715,2.049,0.000695
720,2.048,0.00071
725,2.047,0.000725
730,2.046,0.00074
735,2.045,0.000756
740,2.044,0.000771
745,2.043,0.000787
750,2.042,0.000804
755,2.041,0.00082
760,2.04,0.000837
765,2.04,0.000853
770,2.039,0.00087
775,2.038,0.000888
780,2.037,0.000905
785,2.036,0.000923
790,2.036,0.000941
795,2.035,0.000959
800,2.034,0.000978
805,2.034,0.000996
810,2.033,0.00102
815,2.032,0.00103
820,2.031,0.00105
825,2.031,0.00107
830,2.03,0.00109
835,2.029,0.00111
840,2.029,0.00113
845,2.028,0.00115
850,2.028,0.00117
855,2.027,0.0012
860,2.026,0.00122
865,2.026,0.00124
870,2.025,0.00126
875,2.025,0.00128
880,2.024,0.0013
885,2.024,0.00133
890,2.023,0.00135
895,2.022,0.00137
900,2.022,0.0014
905,2.021,0.00142
910,2.021,0.00144
915,2.02,0.00147
920,2.02,0.00149
925,2.019,0.00152
930,2.019,0.00154
935,2.018,0.00157
940,2.018,0.00159
945,2.017,0.00162
950,2.017,0.00164
955,2.016,0.00167
960,2.016,0.00169
965,2.015,0.00172
970,2.015,0.00175
975,2.015,0.00178
980,2.014,0.0018
985,2.014,0.00183
990,2.013,0.00186
995,2.013,0.00189
1000,2.012,0.00192
1005,2.012,0.00194
1010,2.012,0.00197
1015,2.011,0.002
1020,2.011,0.00203
1025,2.01,0.00206
1030,2.01,0.00209
1035,2.009,0.00212
1040,2.009,0.00215
1045,2.009,0.00219
1050,2.008,0.00222
1055,2.008,0.00225
1060,2.008,0.00228
1065,2.007,0.00231
1070,2.007,0.00235
1075,2.006,0.00238
1080,2.006,0.00241
1085,2.006,0.00245
1090,2.005,0.00248
1095,2.005,0.00251
1100,2.005,0.00255
1105,2.004,0.00258
1110,2.004,0.00262
1115,2.003,0.00265
1120,2.003,0.00269
1125,2.003,0.00273
1130,2.002,0.00276
1135,2.002,0.0028
1140,2.002,0.00284
1145,2.001,0.00287
1150,2.001,0.00291
1155,2.001,0.00295
1160,2,0.00299
1165,2,0.00303
1170,2,0.00307
1175,1.999,0.0031
1180,1.999,0.00314
1185,1.999,0.00318
1190,1.998,0.00322
1195,1.998,0.00327
1200,1.998,0.00331
1205,1.997,0.00335
1210,1.997,0.00339
1215,1.997,0.00343
1220,1.996,0.00347
1225,1.996,0.00351
1230,1.996,0.00356
1235,1.996,0.0036
1240,1.995,0.00364
1245,1.995,0.00369
1250,1.995,0.00373
1255,1.994,0.00378
1260,1.994,0.00382
1265,1.994,0.00387
1270,1.993,0.00391
1275,1.993,0.00396
1280,1.993,0.00401
1285,1.992,0.00405
1290,1.992,0.0041
1295,1.992,0.00415
1300,1.992,0.00419
1305,1.991,0.00424
