Wavelength (nm),PkCsBr10-10_n,PkCsBr10-10_k
2066.66666666667,2.025758,0
1907.69230769231,2.033797,0
1771.42857142857,2.042361,0
1653.33333333333,2.05151,0
1550,2.061311,0
1458.82352941176,2.071837,0
1377.77777777778,2.083177,0
1305.26315789474,2.095423,0
1240,2.108682,0
1180.95238095238,2.123064,0
1127.27272727273,2.138681,0
1078.26086956522,2.155636,0.000038
1033.33333333333,2.174005,0.000913
992,2.193811,0.003233
953.846153846154,2.214982,0.007448
918.518518518518,2.237297,0.014069
885.714285714286,2.260324,0.023623
855.172413793103,2.28337,0.036557
826.666666666667,2.305476,0.053093
800,2.325496,0.073059
775,2.342315,0.095752
751.515151515152,2.355134,0.119946
729.411764705882,2.363765,0.144093
708.571428571429,2.368735,0.166682
688.888888888889,2.371172,0.186599
670.27027027027,2.372504,0.203333
652.631578947368,2.374145,0.216974
635.897435897436,2.377281,0.228065
620,2.38279,0.237417
604.878048780488,2.391277,0.245967
590.47619047619,2.403139,0.254722
576.744186046512,2.418638,0.264769
563.636363636364,2.437935,0.277373
551.111111111111,2.461037,0.294149
539.130434782609,2.487563,0.317315
527.659574468085,2.516118,0.349976
516.666666666667,2.542857,0.396013
506.122448979592,2.559085,0.458111
496,2.550629,0.531032
486.274509803922,2.508722,0.593144
476.923076923077,2.450696,0.618958
467.924528301887,2.409071,0.611047
459.259259259259,2.396372,0.593704
450.909090909091,2.405112,0.584345
442.857142857143,2.42477,0.588333
435.087719298246,2.448191,0.605473
427.586206896552,2.471157,0.634246
420.338983050847,2.490997,0.673147
413.333333333333,2.5057,0.720873
406.55737704918,2.513497,0.776165
400,2.512713,0.837607
393.650793650794,2.501801,0.903457
387.5,2.479481,0.971542
381.538461538462,2.44494,1.039261
375.757575757576,2.398052,1.103693
370.149253731343,2.339539,1.161835
364.705882352941,2.271019,1.210923
359.420289855072,2.1949,1.248767
354.285714285714,2.114126,1.274018
349.295774647887,2.03182,1.286292
344.444444444444,1.950928,1.286129
339.72602739726,1.873928,1.274813
335.135135135135,1.802667,1.25411
330.666666666667,1.738313,1.226
326.315789473684,1.681423,1.192444
322.077922077922,1.632054,1.155234
317.948717948718,1.589902,1.115898
313.924050632911,1.554433,1.075671
310,1.524988,1.035506
