Wavelength (nm),IOHcrystallized_n,IOHcrystallized_k
640,1.993,0.002816
641.6,1.992,0.002834
643.2,1.991,0.002851
644.8,1.991,0.002869
646.4,1.99,0.002886
648,1.99,0.002904
649.5,1.989,0.002922
651.1,1.988,0.002941
652.7,1.988,0.002959
654.3,1.987,0.002978
655.9,1.987,0.002996
657.5,1.986,0.003015
659.1,1.985,0.003034
660.6,1.985,0.003054
662.2,1.984,0.003073
663.8,1.984,0.003093
665.4,1.983,0.003113
667,1.983,0.003133
668.6,1.982,0.003153
670.1,1.981,0.003173
671.7,1.981,0.003193
673.3,1.98,0.003214
674.9,1.98,0.003235
676.5,1.979,0.003256
678.1,1.979,0.003277
679.6,1.978,0.003298
681.2,1.977,0.003319
682.8,1.977,0.003341
684.4,1.976,0.003362
686,1.976,0.003384
687.6,1.975,0.003406
689.2,1.975,0.003428
690.7,1.974,0.003451
692.3,1.974,0.003473
693.9,1.973,0.003496
695.5,1.972,0.003518
697.1,1.972,0.003541
698.7,1.971,0.003564
700.2,1.971,0.003588
701.8,1.97,0.003611
703.4,1.97,0.003634
705,1.969,0.003658
706.6,1.969,0.003682
708.1,1.968,0.003706
709.7,1.967,0.00373
711.3,1.967,0.003754
712.9,1.966,0.003778
714.5,1.966,0.003803
716.1,1.965,0.003827
717.6,1.965,0.003852
719.2,1.964,0.003877
720.8,1.964,0.003902
722.4,1.963,0.003927
724,1.963,0.003953
725.6,1.962,0.003978
727.1,1.962,0.004004
728.7,1.961,0.00403
730.3,1.96,0.004056
731.9,1.96,0.004082
733.5,1.959,0.004108
735,1.959,0.004134
736.6,1.958,0.004161
738.2,1.958,0.004188
739.8,1.957,0.004214
741.4,1.957,0.004241
743,1.956,0.004269
744.5,1.956,0.004296
746.1,1.955,0.004323
747.7,1.955,0.004351
749.3,1.954,0.004378
750.9,1.954,0.004406
752.4,1.953,0.004434
754,1.953,0.004462
755.6,1.952,0.00449
757.2,1.951,0.004519
758.8,1.951,0.004547
760.3,1.95,0.004576
761.9,1.95,0.004605
763.5,1.949,0.004634
765.1,1.949,0.004663
766.7,1.948,0.004692
768.2,1.948,0.004721
769.8,1.947,0.004751
771.4,1.947,0.004781
773,1.946,0.00481
774.6,1.946,0.00484
776.1,1.945,0.00487
777.7,1.945,0.004901
779.3,1.944,0.004931
780.9,1.944,0.004962
782.5,1.943,0.004992
784,1.943,0.005023
785.6,1.942,0.005054
787.2,1.942,0.005085
788.8,1.941,0.005116
790.3,1.941,0.005148
791.9,1.94,0.005179
793.5,1.94,0.005211
795.1,1.939,0.005243
796.7,1.938,0.005275
798.2,1.938,0.005307
799.8,1.937,0.005339
801.4,1.937,0.005372
803,1.936,0.005404
804.5,1.936,0.005437
806.1,1.935,0.00547
807.7,1.935,0.005503
809.3,1.934,0.005536
810.9,1.934,0.005569
812.4,1.933,0.005603
814,1.933,0.005636
815.6,1.932,0.00567
817.2,1.932,0.005704
818.7,1.931,0.005738
820.3,1.931,0.005772
821.9,1.93,0.005807
823.5,1.93,0.005841
825.1,1.929,0.005876
826.6,1.929,0.00591
828.2,1.928,0.005945
829.8,1.928,0.00598
831.4,1.927,0.006016
832.9,1.927,0.006051
834.5,1.926,0.006087
836.1,1.926,0.006122
837.7,1.925,0.006158
839.2,1.925,0.006194
840.8,1.924,0.00623
842.4,1.923,0.006267
844,1.923,0.006303
845.5,1.922,0.00634
847.1,1.922,0.006376
848.7,1.921,0.006413
850.3,1.921,0.00645
851.8,1.92,0.006488
853.4,1.92,0.006525
855,1.919,0.006562
856.6,1.919,0.0066
858.1,1.918,0.006638
859.7,1.918,0.006676
861.3,1.917,0.006714
862.9,1.917,0.006752
864.4,1.916,0.006791
866,1.916,0.006829
867.6,1.915,0.006868
869.2,1.915,0.006907
870.7,1.914,0.006946
872.3,1.914,0.006985
873.9,1.913,0.007025
875.4,1.913,0.007064
877,1.912,0.007104
878.6,1.912,0.007144
880.2,1.911,0.007184
881.7,1.911,0.007224
883.3,1.91,0.007264
884.9,1.91,0.007305
886.5,1.909,0.007346
888,1.908,0.007386
889.6,1.908,0.007427
891.2,1.907,0.007469
892.7,1.907,0.00751
894.3,1.906,0.007551
895.9,1.906,0.007593
897.5,1.905,0.007635
899,1.905,0.007677
900.6,1.904,0.007719
902.2,1.904,0.007761
903.7,1.903,0.007804
905.3,1.903,0.007846
906.9,1.902,0.007889
908.5,1.902,0.007932
910,1.901,0.007975
911.6,1.901,0.008018
913.2,1.9,0.008062
914.7,1.9,0.008105
916.3,1.899,0.008149
917.9,1.899,0.008193
919.5,1.898,0.008237
