Wavelength (nm),PkCsCl17-01_n,PkCsCl17-01_k
2066.66666666667,1.961375,0
1907.69230769231,1.966014,0
1771.42857142857,1.970872,0
1653.33333333333,1.975964,0
1550,1.981308,0
1458.82352941176,1.986925,0
1377.77777777778,1.992839,0
1305.26315789474,1.999073,0
1240,2.005658,0
1180.95238095238,2.012628,0
1127.27272727273,2.02002,0
1078.26086956522,2.02788,0
1033.33333333333,2.036261,0
992,2.045228,0
953.846153846154,2.054862,0
918.518518518518,2.065265,0
885.714285714286,2.076571,0
855.172413793103,2.088967,0
826.666666666667,2.10273,0
800,2.118294,0
775,2.136407,0
751.515151515152,2.158486,0
729.411764705882,2.187501,0
708.571428571429,2.230112,0
688.888888888889,2.298324,0.00671
670.27027027027,2.371452,0.077661
652.631578947368,2.345131,0.169476
635.897435897436,2.300443,0.17844
620,2.292818,0.165521
604.878048780488,2.304729,0.157194
590.47619047619,2.325514,0.155977
576.744186046512,2.350869,0.161395
563.636363636364,2.378699,0.173168
551.111111111111,2.407514,0.191363
539.130434782609,2.435827,0.216165
527.659574468085,2.461921,0.247597
516.666666666667,2.483857,0.285216
506.122448979592,2.499681,0.327852
496,2.507828,0.3735
486.274509803922,2.507596,0.419491
476.923076923077,2.499489,0.462979
467.924528301887,2.485206,0.501596
459.259259259259,2.46724,0.533987
450.909090909091,2.448254,0.560007
442.857142857143,2.430524,0.580553
435.087719298246,2.415612,0.597173
427.586206896552,2.404306,0.611673
420.338983050847,2.396715,0.625814
413.333333333333,2.392427,0.641149
406.55737704918,2.390658,0.658949
400,2.390358,0.680179
393.650793650794,2.390283,0.705494
387.5,2.389045,0.735216
381.538461538462,2.385162,0.769306
375.757575757576,2.377134,0.807315
370.149253731343,2.363545,0.848348
364.705882352941,2.343209,0.891058
359.420289855072,2.315333,0.933696
354.285714285714,2.279681,0.974244
349.295774647887,2.236675,1.01062
344.444444444444,2.187402,1.040936
339.72602739726,2.133504,1.063744
335.135135135135,2.076969,1.078206
330.666666666667,2.019866,1.084158
326.315789473684,1.9641,1.08205
322.077922077922,1.911228,1.072799
317.948717948718,1.862371,1.057607
313.924050632911,1.818208,1.037776
310,1.779027,1.01457
