Wavelength (nm),IZrOasdep_n,IZrOasdep_k
1360.17410228509,1.465976,0.077273
1365.17418631765,1.461431,0.078362
1370.17482988837,1.456862,0.079466
1375.17563987255,1.452266,0.080584
1380.17621733768,1.447643,0.081717
1385.17615754368,1.442994,0.082865
1390.17660848479,1.438319,0.084028
1395.17718750281,1.433616,0.085206
1400.17908742199,1.428886,0.086401
1405.17876366933,1.424129,0.087611
1410.18059409544,1.419343,0.088837
1415.1810119229,1.41453,0.090081
1420.18123345031,1.409689,0.09134
1425.18251530922,1.404819,0.092617
1430.18285579835,1.39992,0.093912
1435.18352409314,1.394992,0.095224
1440.18415774198,1.390036,0.096554
1445.18438921147,1.38505,0.097903
1450.18554188405,1.380034,0.09927
1455.18556549802,1.374988,0.100656
1460.18579686696,1.369912,0.102061
1465.18761491088,1.364806,0.103486
1470.18721174253,1.359669,0.104932
1475.18769978979,1.354501,0.106397
1480.18874793937,1.349301,0.107883
1485.19002048125,1.34407,0.109391
1490.18938624627,1.338808,0.11092
1495.19007000866,1.333513,0.112471
1500.19175838202,1.328185,0.114044
1505.19230652513,1.322826,0.11564
1510.19319511818,1.317433,0.11726
1515.19409758583,1.312007,0.118903
1520.1946829965,1.306548,0.12057
1525.19461606301,1.301055,0.122262
1530.1954454473,1.295527,0.12398
1535.19496357007,1.289966,0.125722
1540.19664833336,1.284369,0.127492
1545.19637078233,1.278738,0.129287
1550.1976502004,1.273072,0.13111
1555.19825015113,1.267369,0.132961
1560.19980623325,1.261631,0.134841
1565.20004897561,1.255857,0.136749
1570.20063111935,1.250046,0.138688
1575.20125101467,1.244199,0.140656
1580.20160314001,1.238315,0.142656
1585.20137810249,1.232393,0.144687
1590.20230194607,1.226434,0.14675
1595.20409607245,1.220436,0.148847
1600.20441320891,1.214401,0.150978
1605.2050066862,1.208326,0.153143
1610.20558689397,1.202214,0.155343
1615.2058605921,1.196061,0.15758
1620.2055309113,1.189869,0.159854
1625.20642742929,1.183638,0.162166
1630.20828540214,1.177367,0.164516
1635.20868032066,1.171055,0.166907
1640.20947062239,1.164702,0.169338
1645.21038127751,1.15831,0.171811
1650.21113386806,1.151875,0.174326
1655.21144658806,1.1454,0.176886
1660.21103424453,1.138883,0.17949
1665.2118444907,1.132324,0.18214
1670.21362571051,1.125723,0.184838
1675.21385996293,1.11908,0.187583
1680.21452545457,1.112395,0.190379
1685.21536100982,1.105668,0.193225
1690.21610230714,1.098897,0.196123
1695.21648187896,1.092084,0.199075
1700.21622911236,1.085227,0.202082
1705.21741522044,1.078328,0.205145
1710.217445873,1.071386,0.208266
1715.21841369962,1.0644,0.211446
1720.22007718794,1.057371,0.214688
1725.21979161014,1.0503,0.217992
1730.21968208609,1.043186,0.22136
1735.22192648816,1.036029,0.224795
1740.22142914281,1.028829,0.228297
1745.2228044323,1.021586,0.231869
1750.22336519963,1.014302,0.235513
1755.2228496043,1.006976,0.23923
1760.22349160203,0.999609,0.243023
1765.22506619594,0.9922,0.246893
1770.22481855196,0.984751,0.250844
1775.22755840356,0.977262,0.254876
1780.22798403537,0.969735,0.258992
1785.22838685899,0.962169,0.263195
1790.22852844659,0.954566,0.267487
1795.22816770906,0.946927,0.271869
1800.22967446331,0.939252,0.276346
1805.23021780685,0.931543,0.280918
1810.22954878569,0.923801,0.28559
1815.23273040281,0.916028,0.290362
1820.23158043075,0.908226,0.295238
1825.23385808807,0.900397,0.300221
1830.23398951158,0.892541,0.305312
1835.23442899789,0.884662,0.310515
1840.23495645025,0.876761,0.315832
1845.23534935216,0.868842,0.321266
1850.23538276744,0.860907,0.32682
1855.23760506779,0.852958,0.332496
1860.23625000375,0.844999,0.338296
1865.23665190021,0.837034,0.344223
1870.23862133248,0.829065,0.350279
1875.23913079642,0.821097,0.356466
1880.24079212725,0.813133,0.362788
1885.24054301009,0.805178,0.369245
1890.24102097405,0.797235,0.375839
1895.24202546349,0.789311,0.382572
1900.24335374562,0.781409,0.389446
1905.24187352882,0.773535,0.396461
1910.24321709606,0.765693,0.403618
1915.24426314838,0.75789,0.410919
1920.24480024034,0.75013,0.418363
1925.24461474924,0.74242,0.42595
1930.24649559079,0.734765,0.433679
1935.2472512466,0.727171,0.441552
1940.24666168044,0.719643,0.449565
1945.24755628276,0.712189,0.457717
1950.24975779156,0.704814,0.466007
1955.25000394204,0.697522,0.474432
1960.25116508477,0.690322,0.482988
1965.24994334058,0.683216,0.491675
1970.25236708344,0.676212,0.500487
1975.25200392502,0.669315,0.50942
1980.25177943189,0.662528,0.518471
1985.25468095837,0.655858,0.527634
1990.25417471864,0.649308,0.536905
1995.25322820709,0.642881,0.546279
2000.2548711852,0.636582,0.555749
