Wavelength (nm),SiOxPECVD_n,SiOxPECVD_k
704.6,1.475,0
706.2,1.475,0
707.7,1.475,0
709.3,1.474,0
710.9,1.474,0
712.5,1.474,0
714.1,1.474,0
715.6,1.474,0
717.2,1.474,0
718.8,1.474,0
720.4,1.474,0
722,1.474,0
723.5,1.474,0
725.1,1.474,0
726.7,1.474,0
728.3,1.474,0
729.9,1.473,0
731.4,1.473,0
733,1.473,0
734.6,1.473,0
736.2,1.473,0
737.8,1.473,0
739.3,1.473,0
740.9,1.473,0
742.5,1.473,0
744.1,1.473,0
745.6,1.473,0
747.2,1.473,0
748.8,1.473,0
750.4,1.473,0
752,1.473,0
753.5,1.472,0
755.1,1.472,0
756.7,1.472,0
758.3,1.472,0
759.8,1.472,0
761.4,1.472,0
763,1.472,0
764.6,1.472,0
766.1,1.472,0
767.7,1.472,0
769.3,1.472,0
770.9,1.472,0
772.5,1.472,0
774,1.472,0
775.6,1.472,0
777.2,1.472,0
778.8,1.471,0
780.3,1.471,0
781.9,1.471,0
783.5,1.471,0
785.1,1.471,0
786.6,1.471,0
788.2,1.471,0
789.8,1.471,0
791.4,1.471,0
792.9,1.471,0
794.5,1.471,0
796.1,1.471,0
797.6,1.471,0
799.2,1.471,0
800.8,1.471,0
802.4,1.471,0
803.9,1.471,0
805.5,1.471,0
807.1,1.47,0
808.7,1.47,0
810.2,1.47,0
811.8,1.47,0
813.4,1.47,0
815,1.47,0
816.5,1.47,0
818.1,1.47,0
819.7,1.47,0
821.2,1.47,0
822.8,1.47,0
824.4,1.47,0
826,1.47,0
827.5,1.47,0
829.1,1.47,0
830.7,1.47,0
832.2,1.47,0
833.8,1.47,0
835.4,1.47,0
837,1.47,0
838.5,1.469,0
840.1,1.469,0
841.7,1.469,0
843.2,1.469,0
844.8,1.469,0
846.4,1.469,0
847.9,1.469,0
849.5,1.469,0
851.1,1.469,0
852.6,1.469,0
854.2,1.469,0
855.8,1.469,0
857.4,1.469,0
858.9,1.469,0
860.5,1.469,0
862.1,1.469,0
863.6,1.469,0
865.2,1.469,0
866.8,1.469,0
868.3,1.469,0
869.9,1.469,0
871.5,1.469,0
873,1.468,0
874.6,1.468,0
876.2,1.468,0
877.7,1.468,0
879.3,1.468,0
880.9,1.468,0
882.4,1.468,0
884,1.468,0
885.6,1.468,0
887.1,1.468,0
888.7,1.468,0
890.3,1.468,0
891.8,1.468,0
893.4,1.468,0
894.9,1.468,0
896.5,1.468,0
898.1,1.468,0
899.6,1.468,0
901.2,1.468,0
902.8,1.468,0
904.3,1.468,0
905.9,1.468,0
907.5,1.468,0
909,1.468,0
910.6,1.468,0
912.1,1.468,0
913.7,1.467,0
915.3,1.467,0
916.8,1.467,0
918.4,1.467,0
920,1.467,0
921.5,1.467,0
923.1,1.467,0
924.6,1.467,0
926.2,1.467,0
927.8,1.467,0
929.3,1.467,0
930.9,1.467,0
932.4,1.467,0
934,1.467,0
935.6,1.467,0
937.1,1.467,0
938.7,1.467,0
940.2,1.467,0
941.8,1.467,0
943.4,1.467,0
944.9,1.467,0
946.5,1.467,0
948,1.467,0
949.6,1.467,0
951.2,1.467,0
952.7,1.467,0
954.3,1.467,0
955.8,1.467,0
957.4,1.467,0
958.9,1.466,0
960.5,1.466,0
962.1,1.466,0
963.6,1.466,0
965.2,1.466,0
966.7,1.466,0
968.3,1.466,0
969.8,1.466,0
971.4,1.466,0
972.9,1.466,0
974.5,1.466,0
976.1,1.466,0
977.6,1.466,0
979.2,1.466,0
980.7,1.466,0
982.3,1.466,0
983.8,1.466,0
985.4,1.466,0
986.9,1.466,0
988.5,1.466,0
990,1.466,0
991.6,1.466,0
993.2,1.466,0
994.7,1.466,0
996.3,1.466,0
997.8,1.466,0
999.4,1.466,0
1012,1.465,0
1015,1.465,0
1019,1.465,0
1022,1.465,0
1025,1.465,0
1029,1.465,0
1032,1.465,0
1036,1.465,0
1039,1.465,0
1042,1.465,0
1046,1.465,0
1049,1.465,0
1053,1.465,0
1056,1.465,0
1059,1.465,0
1063,1.465,0
1066,1.465,0
1069,1.465,0
1073,1.464,0
1076,1.464,0
1080,1.464,0
1083,1.464,0
1086,1.464,0
1090,1.464,0
1093,1.464,0
1097,1.464,0
1100,1.464,0
1103,1.464,0
1107,1.464,0
1110,1.464,0
1114,1.464,0
1117,1.464,0
1120,1.464,0
1124,1.464,0
1127,1.464,0
1130,1.464,0
1134,1.464,0
1137,1.464,0
1141,1.464,0
1144,1.464,0
1147,1.464,0
1151,1.463,0
1154,1.463,0
1158,1.463,0
1161,1.463,0
1164,1.463,0
1168,1.463,0
1171,1.463,0
1175,1.463,0
1178,1.463,0
1182,1.463,0
1185,1.463,0
1188,1.463,0
1192,1.463,0
1195,1.463,0
1199,1.463,0
1202,1.463,0
1205,1.463,0
1209,1.463,0
1212,1.463,0
1216,1.463,0
1219,1.463,0
1222,1.463,0
1226,1.463,0
1229,1.463,0
1233,1.463,0
1236,1.463,0
1239,1.463,0
1243,1.462,0
1246,1.462,0
1250,1.462,0
1253,1.462,0
1257,1.462,0
1260,1.462,0
1263,1.462,0
1267,1.462,0
1270,1.462,0
1274,1.462,0
1277,1.462,0
1281,1.462,0
1284,1.462,0
1287,1.462,0
1291,1.462,0
1294,1.462,0
1298,1.462,0
1301,1.462,0
1304,1.462,0
1308,1.462,0
1311,1.462,0
1315,1.462,0
1318,1.462,0
1322,1.462,0
1325,1.462,0
1328,1.462,0
1332,1.462,0
1335,1.462,0
1339,1.462,0
1342,1.462,0
1346,1.462,0
1349,1.462,0
1353,1.462,0
1356,1.462,0
1359,1.462,0
1363,1.461,0
1366,1.461,0
1370,1.461,0
1373,1.461,0
1377,1.461,0
1380,1.461,0
1383,1.461,0
1387,1.461,0
1390,1.461,0
1394,1.461,0
1397,1.461,0
1401,1.461,0
1404,1.461,0
1408,1.461,0
1411,1.461,0
1414,1.461,0
1418,1.461,0
1421,1.461,0
1425,1.461,0
1428,1.461,0
1432,1.461,0
1435,1.461,0
1439,1.461,0
1442,1.461,0
1445,1.461,0
1449,1.461,0
1452,1.461,0
1456,1.461,0
1459,1.461,0
1463,1.461,0
1466,1.461,0
1470,1.461,0
1473,1.461,0
1476,1.461,0
1480,1.461,0
1483,1.461,0
1487,1.461,0
1490,1.461,0
1494,1.461,0
1497,1.461,0
1501,1.461,0
1504,1.461,0
1508,1.461,0
1511,1.461,0
1515,1.461,0
1518,1.461,0
1521,1.461,0
1525,1.46,0
1528,1.46,0
1532,1.46,0
1535,1.46,0
1539,1.46,0
1542,1.46,0
1546,1.46,0
1549,1.46,0
1553,1.46,0
1556,1.46,0
1560,1.46,0
1563,1.46,0
1567,1.46,0
1570,1.46,0
1573,1.46,0
1577,1.46,0
1580,1.46,0
1584,1.46,0
1587,1.46,0
1591,1.46,0
1594,1.46,0
1598,1.46,0
1601,1.46,0
1605,1.46,0
1608,1.46,0
1612,1.46,0
1615,1.46,0
1619,1.46,0
1622,1.46,0
1626,1.46,0
1629,1.46,0
1633,1.46,0
1636,1.46,0
1639,1.46,0
1643,1.46,0
1646,1.46,0
1650,1.46,0
1653,1.46,0
1657,1.46,0
1660,1.46,0
1664,1.46,0
1667,1.46,0
1671,1.46,0
1674,1.46,0
1678,1.46,0
1681,1.46,0
1685,1.46,0
1688,1.46,0
