Wavelength (nm),MoOxALD_n,MoOxALD_k
659.1,2.103,0.00185
660.6,2.102,0.00193
662.2,2.102,0.00202
663.8,2.101,0.00212
665.4,2.101,0.00221
667,2.1,0.00231
668.6,2.1,0.00241
670.1,2.099,0.00251
671.7,2.099,0.00262
673.3,2.098,0.00273
674.9,2.098,0.00284
676.5,2.098,0.00295
678.1,2.097,0.00307
679.6,2.097,0.00319
681.2,2.096,0.00331
682.8,2.096,0.00344
684.4,2.095,0.00357
686,2.095,0.00369
687.6,2.095,0.00383
689.2,2.094,0.00396
690.7,2.094,0.0041
692.3,2.093,0.00424
693.9,2.093,0.00439
695.5,2.093,0.00453
697.1,2.092,0.00468
698.7,2.092,0.00483
700.2,2.092,0.00498
701.8,2.091,0.00513
703.4,2.091,0.00529
705,2.091,0.00545
706.6,2.09,0.00561
708.1,2.09,0.00577
709.7,2.09,0.00594
711.3,2.089,0.0061
712.9,2.089,0.00627
714.5,2.089,0.00644
716.1,2.088,0.00661
717.6,2.088,0.00678
719.2,2.088,0.00695
720.8,2.087,0.00713
722.4,2.087,0.0073
724,2.087,0.00748
725.6,2.087,0.00766
727.1,2.086,0.00783
728.7,2.086,0.00801
730.3,2.086,0.00819
731.9,2.086,0.00837
733.5,2.085,0.00855
735,2.085,0.00873
736.6,2.085,0.00892
738.2,2.085,0.0091
739.8,2.084,0.00928
741.4,2.084,0.00946
743,2.084,0.00964
744.5,2.084,0.00983
746.1,2.084,0.01
747.7,2.083,0.0102
749.3,2.083,0.0104
750.9,2.083,0.0106
752.4,2.083,0.0107
754,2.083,0.0109
755.6,2.083,0.0111
757.2,2.082,0.0113
758.8,2.082,0.0114
760.3,2.082,0.0116
761.9,2.082,0.0118
763.5,2.082,0.012
765.1,2.082,0.0121
766.7,2.082,0.0123
768.2,2.081,0.0125
769.8,2.081,0.0126
771.4,2.081,0.0128
773,2.081,0.0129
774.6,2.081,0.0131
776.1,2.081,0.0133
777.7,2.081,0.0134
779.3,2.081,0.0136
780.9,2.081,0.0137
782.5,2.081,0.0139
784,2.08,0.014
785.6,2.08,0.0142
787.2,2.08,0.0143
788.8,2.08,0.0144
790.3,2.08,0.0146
791.9,2.08,0.0147
793.5,2.08,0.0148
795.1,2.08,0.015
796.7,2.08,0.0151
798.2,2.08,0.0152
799.8,2.08,0.0153
801.4,2.08,0.0155
803,2.08,0.0156
804.5,2.08,0.0157
806.1,2.08,0.0158
807.7,2.08,0.0159
809.3,2.08,0.016
810.9,2.08,0.0161
812.4,2.08,0.0162
814,2.08,0.0163
815.6,2.08,0.0164
817.2,2.08,0.0165
818.7,2.08,0.0165
820.3,2.08,0.0166
821.9,2.08,0.0167
823.5,2.08,0.0168
825.1,2.08,0.0168
826.6,2.08,0.0169
828.2,2.08,0.017
829.8,2.08,0.017
831.4,2.08,0.0171
832.9,2.08,0.0171
834.5,2.08,0.0172
836.1,2.08,0.0172
837.7,2.08,0.0173
839.2,2.08,0.0173
840.8,2.08,0.0174
842.4,2.08,0.0174
844,2.08,0.0174
845.5,2.08,0.0175
847.1,2.08,0.0175
848.7,2.08,0.0175
850.3,2.08,0.0175
851.8,2.08,0.0175
853.4,2.08,0.0175
855,2.08,0.0176
856.6,2.08,0.0176
858.1,2.08,0.0176
859.7,2.08,0.0176
861.3,2.08,0.0176
862.9,2.08,0.0176
864.4,2.08,0.0176
866,2.08,0.0175
867.6,2.08,0.0175
869.2,2.08,0.0175
870.7,2.08,0.0175
872.3,2.08,0.0175
873.9,2.081,0.0175
875.4,2.081,0.0174
877,2.081,0.0174
878.6,2.081,0.0174
880.2,2.081,0.0173
881.7,2.081,0.0173
883.3,2.081,0.0173
884.9,2.081,0.0172
886.5,2.081,0.0172
888,2.081,0.0171
889.6,2.081,0.0171
891.2,2.081,0.017
892.7,2.081,0.017
894.3,2.081,0.0169
895.9,2.081,0.0169
897.5,2.081,0.0168
899,2.081,0.0168
900.6,2.081,0.0167
902.2,2.081,0.0167
903.7,2.081,0.0166
905.3,2.081,0.0165
906.9,2.081,0.0165
908.5,2.081,0.0164
910,2.081,0.0163
911.6,2.081,0.0162
913.2,2.081,0.0162
914.7,2.081,0.0161
916.3,2.081,0.016
917.9,2.081,0.0159
919.5,2.081,0.0159
921,2.081,0.0158
922.6,2.081,0.0157
924.2,2.081,0.0156
925.7,2.081,0.0155
927.3,2.081,0.0155
928.9,2.081,0.0154
930.4,2.081,0.0153
932,2.081,0.0152
933.6,2.081,0.0151
935.1,2.081,0.015
936.7,2.081,0.0149
938.3,2.081,0.0148
