Wavelength (nm),PkCsCl12-13_n,PkCsCl12-13_k
2066.66666666667,2.075608,0
1907.69230769231,2.080524,0
1771.42857142857,2.085658,0
1653.33333333333,2.091026,0
1550,2.096644,0
1458.82352941176,2.102532,0
1377.77777777778,2.10871,0
1305.26315789474,2.115204,0
1240,2.122041,0
1180.95238095238,2.129251,0
1127.27272727273,2.136872,0
1078.26086956522,2.144948,0
1033.33333333333,2.153534,0
992,2.162697,0
953.846153846154,2.172529,0
918.518518518518,2.183155,0
885.714285714286,2.194763,0
855.172413793103,2.207656,0
826.666666666667,2.22237,0
800,2.239959,0
775,2.262739,0
751.515151515152,2.296364,0
729.411764705882,2.354448,0
708.571428571429,2.446533,0.029249
688.888888888889,2.478802,0.134623
670.27027027027,2.434525,0.183416
652.631578947368,2.411816,0.18333
635.897435897436,2.412517,0.17665
620,2.425555,0.173005
604.878048780488,2.445564,0.173804
590.47619047619,2.470124,0.179316
576.744186046512,2.497928,0.189903
563.636363636364,2.527963,0.20618
551.111111111111,2.559089,0.228951
539.130434782609,2.589755,0.259034
527.659574468085,2.617823,0.29696
516.666666666667,2.640578,0.342518
506.122448979592,2.655059,0.394248
496,2.658827,0.449132
486.274509803922,2.650991,0.502879
476.923076923077,2.632954,0.550984
467.924528301887,2.608247,0.590179
459.259259259259,2.581413,0.619432
450.909090909091,2.556572,0.639958
442.857142857143,2.536469,0.654406
435.087719298246,2.52226,0.665876
427.586206896552,2.513817,0.67721
420.338983050847,2.510164,0.690665
413.333333333333,2.509861,0.707856
406.55737704918,2.511234,0.729816
400,2.512513,0.757063
393.650793650794,2.511907,0.789651
387.5,2.507664,0.827178
381.538461538462,2.498156,0.868785
375.757575757576,2.481988,0.913158
370.149253731343,2.458145,0.958575
364.705882352941,2.426132,1.003006
359.420289855072,2.386086,1.044297
354.285714285714,2.338811,1.080392
349.295774647887,2.285717,1.109574
344.444444444444,2.228648,1.130662
339.72602739726,2.16966,1.143115
335.135135135135,2.110766,1.14703
330.666666666667,2.053736,1.143041
326.315789473684,1.999967,1.132164
322.077922077922,1.950424,1.115619
317.948717948718,1.905665,1.094679
313.924050632911,1.865899,1.070552
310,1.831067,1.044308
