Wavelength (nm),SnO2_n,SnO2_k
294.778524244954,2.195,0.172846062003823
295.126745153636,2.19384190804541,0.171717507279128
299.173004263853,2.18966714190349,0.158603921269993
302.359739825666,2.18637919731954,0.145722312727945
302.656547539093,2.18637919731954,0.144855019465025
307.814373703324,2.17967417103436,0.129783484322263
312.036113995063,2.17418602957243,0.117914013821538
312.558680369974,2.17418602957243,0.116404822549921
317.554603523294,2.16528366488355,0.101976409282895
322.049700540857,2.15727373524008,0.0901069387821707
323.135443622629,2.15727373524008,0.0878494761326565
327.923616904975,2.14872688260406,0.0778939695991427
333.363711009447,2.13901635629365,0.0670378610067802
333.806046240055,2.13901635629365,0.0661282347057222
337.982432665843,2.1318862570503,0.0575398368721222
344.105245521058,2.12143313828797,0.0483755204834546
345.204668348955,2.12143313828797,0.0470391414983287
350.809930327665,2.11246808927743,0.0402257898701885
357.040316736072,2.1025032170345,0.0327386980211601
358.156287878134,2.1025032170345,0.0313976289615896
366.20122711804,2.08973769191001,0.0249384666849793
370.512982349229,2.08289589757285,0.022237106596987
375.433958628573,2.07876921811541,0.0191540631025845
382.134455993074,2.07170305905406,0.015748449088491
385.040347204597,2.06463689999271,0.0142375978252798
391.301408895541,2.05757074093136,0.0109823028826148
401.220402541153,2.04637628377886,0.00809675114014069
404.222522282107,2.04397444307298,0.0072233992499055
419.835590312982,2.03148323500133,0.00501395155294594
423.701736321497,2.02942532028715,0.00446684272220671
441.710566597818,2.01542532028715,0.00273343903918277
443.669922423605,2.01455799159929,0.0026
465.279594774339,2.00169066291143,0.0025
468.238594992181,2.00048413790387,0.0023409856753162
491.892436802128,1.99083934251098,0.00222477871794677
521.730798044051,1.98133634399203,0.00207818835851705
567.318250823861,1.97248646417558,0.00185422562027229
625.028107076131,1.96160924563575,0.00157070775204662
658.89632827189,1.95736244332181,0.00140431943473662
690.216504040869,1.95343514539377,0.001385082813475
782.842778092859,1.9465980365973,0.00132819243821159
904.172459782598,1.94110924968234,0.00125367264139838
1037.49861759961,1.93738595220401,0.00117178469731049
1076.69351098369,1.9362913864407,0.0010898967532226
1320.36918304033,1.93147676046649,0.00100800880913472
1706.52959390524,1.92935877825527,0.000926120865046832
2463.78889478509,1.92588761826142,0.000926120865046832
2474.05855061454,1.92588761826142,0.000936802225806165
