Wavelength (nm),PkCsI15-12_n,PkCsI15-12_k
2066.66666666667,2.053413,0
1907.69230769231,2.05941,0
1771.42857142857,2.06571,0
1653.33333333333,2.072338,0
1550,2.079325,0
1458.82352941176,2.086705,0
1377.77777777778,2.094516,0
1305.26315789474,2.102807,0
1240,2.111632,0
1180.95238095238,2.12106,0
1127.27272727273,2.131178,0
1078.26086956522,2.142095,0
1033.33333333333,2.153959,0
992,2.166972,0
953.846153846154,2.181428,0
918.518518518518,2.19777,0
885.714285714286,2.216699,0
855.172413793103,2.23936,0
826.666666666667,2.267624,0
800,2.304196,0
775,2.35086,0.005467
751.515151515152,2.400323,0.032423
729.411764705882,2.429632,0.079784
708.571428571429,2.431117,0.119669
688.888888888889,2.426746,0.138329
670.27027027027,2.430881,0.145129
652.631578947368,2.44467,0.149477
635.897435897436,2.465876,0.15593
620,2.492454,0.166615
604.878048780488,2.522828,0.182862
590.47619047619,2.555559,0.20582
576.744186046512,2.588985,0.236587
563.636363636364,2.620948,0.276064
551.111111111111,2.648644,0.324605
539.130434782609,2.668733,0.381502
527.659574468085,2.677854,0.444475
516.666666666667,2.673582,0.509496
506.122448979592,2.655534,0.57134
496,2.625983,0.624912
486.274509803922,2.58944,0.666817
476.923076923077,2.551284,0.696276
467.924528301887,2.516232,0.714965
459.259259259259,2.487392,0.726073
450.909090909091,2.466102,0.733236
442.857142857143,2.452272,0.739797
435.087719298246,2.44487,0.748472
427.586206896552,2.442312,0.761291
420.338983050847,2.44271,0.779663
413.333333333333,2.443998,0.804446
406.55737704918,2.443992,0.835978
400,2.440438,0.874053
393.650793650794,2.431107,0.917862
387.5,2.413941,0.965927
381.538461538462,2.387289,1.016091
375.757575757576,2.350177,1.065617
370.149253731343,2.302562,1.111428
364.705882352941,2.245473,1.150493
359.420289855072,2.180949,1.180261
354.285714285714,2.111769,1.199047
349.295774647887,2.041028,1.206239
344.444444444444,1.971681,1.202273
339.72602739726,1.906178,1.18842
335.135135135135,1.846267,1.166463
330.666666666667,1.792965,1.138375
326.315789473684,1.746644,1.106059
322.077922077922,1.707192,1.071188
317.948717948718,1.674169,1.03513
313.924050632911,1.646954,0.998935
310,1.624849,0.963371
