Wavelength (nm),Pk16eVCsFA_n,Pk16eVCsFA_k
2066.33333333333,2.04566,0
1907.38461538462,2.05087,0
1771.14285714286,2.05634,0
1653.06666666667,2.06211,0
1549.75,2.06819,0
1458.58823529412,2.07462,0
1377.55555555556,2.08143,0
1305.05263157895,2.08867,0
1239.8,2.09639,0
1180.7619047619,2.10465,0
1127.09090909091,2.11354,0
1078.08695652174,2.12315,0
1033.16666666667,2.13363,0
991.84,2.14518,0
953.692307692308,2.1581,0
918.37037037037,2.17285,0
885.571428571429,2.1902,0
855.034482758621,2.21148,0
826.533333333333,2.23908,0
799.870967741935,2.27711,0
774.875,2.33057,0.00162
751.393939393939,2.39478,0.02886
729.294117647059,2.43492,0.09286
708.457142857143,2.4287,0.15113
688.777777777778,2.41006,0.17627
670.162162162162,2.40266,0.18279
652.526315789474,2.40761,0.1849
635.794871794872,2.42126,0.18858
619.9,2.4406,0.1961
604.780487804878,2.46355,0.20852
590.380952380952,2.48843,0.22655
576.651162790698,2.51363,0.2507
563.545454545455,2.53736,0.28122
551.022222222222,2.55764,0.31788
539.04347826087,2.57242,0.35974
527.574468085106,2.57994,0.40503
516.583333333333,2.57919,0.45121
506.040816326531,2.57031,0.49536
495.92,2.55473,0.53486
486.196078431373,2.53484,0.56797
476.846153846154,2.51345,0.59417
467.849056603774,2.49314,0.61412
459.185185185185,2.47583,0.6293
450.836363636364,2.46266,0.6416
442.785714285714,2.45401,0.65299
435.017543859649,2.44965,0.66527
427.51724137931,2.44893,0.68001
420.271186440678,2.45086,0.69852
413.266666666667,2.45418,0.72182
406.491803278689,2.45739,0.75065
399.935483870968,2.45875,0.7854
393.587301587302,2.45633,0.82604
387.4375,2.44807,0.87198
381.476923076923,2.43196,0.92195
375.69696969697,2.40626,0.97395
370.089552238806,2.36987,1.02528
364.647058823529,2.32263,1.07279
359.36231884058,2.2655,1.11328
354.228571428571,2.20063,1.14399
349.239436619718,2.13098,1.16309
344.388888888889,2.05992,1.16998
339.671232876712,1.99064,1.16518
335.081081081081,1.92576,1.15021
330.613333333333,1.86705,1.12707
326.263157894737,1.81549,1.09794
322.025974025974,1.77131,1.0649
317.897435897436,1.73426,1.0297
313.873417721519,1.70377,0.99371
309.95,1.67907,0.95798
306.026582278481,1.65437,0.92225
302.103164556962,1.62967,0.88652
298.179746835443,1.60497,0.85079
294.256329113924,1.58027,0.81506
290.332911392405,1.55557,0.77933
286.409493670886,1.53087,0.7436
282.486075949367,1.50617,0.70787
