Wavelength (nm),ITOsput1E20_n,ITOsput1E20_k
250,2.444,0.4164
255,2.441,0.3938
260,2.437,0.3721
265,2.433,0.3515
270,2.429,0.3317
275,2.424,0.3128
280,2.419,0.2948
285,2.413,0.2776
290,2.407,0.2611
295,2.401,0.2454
300,2.395,0.2304
305,2.389,0.2161
310,2.382,0.2025
315,2.376,0.1895
320,2.369,0.177
325,2.362,0.1652
330,2.355,0.1539
335,2.348,0.1432
340,2.341,0.1329
345,2.334,0.1232
350,2.327,0.114
355,2.32,0.1052
360,2.313,0.09688
365,2.305,0.08899
370,2.298,0.08152
375,2.291,0.07446
380,2.284,0.0678
385,2.277,0.06151
390,2.27,0.0556
395,2.263,0.05004
400,2.256,0.04484
405,2.249,0.03997
410,2.242,0.03543
415,2.235,0.03121
420,2.229,0.02731
425,2.222,0.02371
430,2.215,0.0204
435,2.209,0.01738
440,2.203,0.01464
445,2.196,0.01217
450,2.19,0.00997
455,2.184,0.00803
460,2.178,0.00635
465,2.173,0.00491
470,2.167,0.00372
475,2.162,0.00276
480,2.156,0.00203
485,2.151,0.00153
490,2.146,0.00124
495,2.142,0.00118
500,2.138,0.00122
505,2.134,0.00126
510,2.13,0.0013
515,2.126,0.00134
520,2.123,0.00138
525,2.12,0.00142
530,2.116,0.00146
535,2.113,0.00151
540,2.11,0.00155
545,2.107,0.0016
550,2.105,0.00164
555,2.102,0.00169
560,2.099,0.00174
565,2.097,0.00179
570,2.094,0.00184
575,2.092,0.00189
580,2.089,0.00194
585,2.087,0.00199
590,2.085,0.00205
595,2.083,0.0021
600,2.08,0.00216
605,2.078,0.00221
610,2.076,0.00227
615,2.074,0.00233
620,2.072,0.00239
625,2.07,0.00245
630,2.068,0.00251
635,2.066,0.00257
640,2.064,0.00264
645,2.062,0.0027
650,2.061,0.00277
655,2.059,0.00283
660,2.057,0.0029
665,2.055,0.00297
670,2.054,0.00304
675,2.052,0.00311
680,2.05,0.00318
685,2.049,0.00326
690,2.047,0.00333
695,2.045,0.00341
700,2.044,0.00348
705,2.042,0.00356
710,2.041,0.00364
715,2.039,0.00372
720,2.037,0.0038
725,2.036,0.00388
730,2.034,0.00397
735,2.033,0.00405
740,2.031,0.00414
745,2.03,0.00422
750,2.028,0.00431
755,2.027,0.0044
760,2.025,0.00449
765,2.024,0.00459
770,2.023,0.00468
775,2.021,0.00477
780,2.02,0.00487
785,2.018,0.00497
790,2.017,0.00507
795,2.015,0.00517
800,2.014,0.00527
805,2.013,0.00537
810,2.011,0.00547
815,2.01,0.00558
820,2.009,0.00569
825,2.007,0.0058
830,2.006,0.0059
835,2.004,0.00602
840,2.003,0.00613
845,2.002,0.00624
850,2,0.00636
855,1.999,0.00647
860,1.998,0.00659
865,1.996,0.00671
870,1.995,0.00683
875,1.994,0.00696
880,1.992,0.00708
885,1.991,0.00721
890,1.99,0.00733
895,1.988,0.00746
900,1.987,0.00759
905,1.986,0.00772
910,1.984,0.00786
915,1.983,0.00799
920,1.982,0.00813
925,1.98,0.00827
930,1.979,0.0084
935,1.978,0.00855
940,1.976,0.00869
945,1.975,0.00883
950,1.974,0.00898
955,1.972,0.00913
960,1.971,0.00928
965,1.97,0.00943
970,1.968,0.00958
975,1.967,0.00974
980,1.966,0.00989
985,1.964,0.01005
990,1.963,0.01021
995,1.962,0.01037
1000,1.96,0.01053
1005,1.959,0.0107
1010,1.958,0.01087
1015,1.956,0.01104
1020,1.955,0.01121
1025,1.954,0.01138
1030,1.952,0.01155
1035,1.951,0.01173
1040,1.95,0.01191
1045,1.948,0.01209
1050,1.947,0.01227
1055,1.946,0.01245
1060,1.944,0.01264
1065,1.943,0.01282
1070,1.942,0.01301
1075,1.94,0.01321
1080,1.939,0.0134
1085,1.937,0.01359
1090,1.936,0.01379
1095,1.935,0.01399
1100,1.933,0.01419
1105,1.932,0.01439
1110,1.931,0.0146
1115,1.929,0.01481
1120,1.928,0.01502
1125,1.926,0.01523
1130,1.925,0.01544
1135,1.924,0.01566
1140,1.922,0.01587
1145,1.921,0.01609
1150,1.919,0.01632
1155,1.918,0.01654
1160,1.916,0.01677
1165,1.915,0.017
1170,1.914,0.01723
1175,1.912,0.01746
1180,1.911,0.01769
1185,1.909,0.01793
1190,1.908,0.01817
1195,1.906,0.01841
1200,1.905,0.01866
1205,1.904,0.0189
1210,1.902,0.01915
1215,1.901,0.0194
1220,1.899,0.01966
1225,1.898,0.01991
1230,1.896,0.02017
1235,1.895,0.02043
1240,1.893,0.02069
1245,1.892,0.02096
1250,1.89,0.02123
1255,1.889,0.0215
1260,1.887,0.02177
1265,1.886,0.02204
1270,1.884,0.02232
1275,1.883,0.0226
1280,1.881,0.02288
1285,1.88,0.02317
1290,1.878,0.02346
1295,1.877,0.02375
1300,1.875,0.02404
1305,1.873,0.02434
1310,1.872,0.02464
1315,1.87,0.02494
1320,1.869,0.02524
1325,1.867,0.02555
1330,1.866,0.02585
1335,1.864,0.02617
1340,1.863,0.02648
1345,1.861,0.0268
1350,1.859,0.02712
1355,1.858,0.02744
1360,1.856,0.02776
1365,1.855,0.02809
1370,1.853,0.02842
1375,1.851,0.02876
1380,1.85,0.02909
1385,1.848,0.02943
1390,1.846,0.02977
1395,1.845,0.03012
1400,1.843,0.03047
1405,1.842,0.03082
1410,1.84,0.03117
1415,1.838,0.03153
1420,1.837,0.03189
1425,1.835,0.03225
1430,1.833,0.03262
1435,1.832,0.03299
1440,1.83,0.03336
1445,1.828,0.03374
1450,1.826,0.03411
1455,1.825,0.0345
1460,1.823,0.03488
1465,1.821,0.03527
1470,1.82,0.03566
1475,1.818,0.03605
1480,1.816,0.03645
1485,1.814,0.03685
1490,1.813,0.03726
1495,1.811,0.03766
1500,1.809,0.03807
1505,1.807,0.03849
1510,1.806,0.03891
1515,1.804,0.03933
1520,1.802,0.03975
1525,1.8,0.04018
1530,1.798,0.04061
1535,1.797,0.04104
1540,1.795,0.04148
1545,1.793,0.04192
1550,1.791,0.04237
1555,1.789,0.04281
1560,1.788,0.04327
1565,1.786,0.04372
1570,1.784,0.04418
1575,1.782,0.04465
1580,1.78,0.04511
1585,1.778,0.04558
1590,1.777,0.04606
1595,1.775,0.04653
1600,1.773,0.04702
1605,1.771,0.0475
1610,1.769,0.04799
1615,1.767,0.04848
1620,1.765,0.04898
1625,1.763,0.04948
1630,1.761,0.04999
1635,1.76,0.05049
1640,1.758,0.05101
1645,1.756,0.05152
1650,1.754,0.05204
1655,1.752,0.05257
1660,1.75,0.0531
1665,1.748,0.05363
1670,1.746,0.05417
1675,1.744,0.05471
1680,1.742,0.05525
1685,1.74,0.0558
1690,1.738,0.05636
1695,1.736,0.05692
1700,1.734,0.05748
1705,1.732,0.05804
1710,1.73,0.05861
1715,1.728,0.05919
1720,1.726,0.05977
1725,1.724,0.06035
1730,1.722,0.06094
1735,1.72,0.06153
1740,1.718,0.06213
1745,1.716,0.06273
1750,1.714,0.06334
1755,1.712,0.06395
1760,1.709,0.06457
1765,1.707,0.06519
1770,1.705,0.06582
1775,1.703,0.06645
1780,1.701,0.06708
1785,1.699,0.06772
1790,1.697,0.06836
1795,1.695,0.06902
1800,1.693,0.06967
1805,1.69,0.07033
1810,1.688,0.07099
1815,1.686,0.07166
1820,1.684,0.07234
1825,1.682,0.07302
1830,1.68,0.0737
1835,1.677,0.07439
1840,1.675,0.07509
1845,1.673,0.07579
1850,1.671,0.07649
1855,1.669,0.0772
1860,1.666,0.07792
1865,1.664,0.07864
1870,1.662,0.07937
1875,1.66,0.0801
1880,1.657,0.08084
1885,1.655,0.08158
1890,1.653,0.08233
1895,1.651,0.08309
1900,1.648,0.08385
1905,1.646,0.08461
1910,1.644,0.08538
1915,1.641,0.08616
1920,1.639,0.08694
1925,1.637,0.08773
1930,1.634,0.08853
1935,1.632,0.08933
1940,1.63,0.09014
1945,1.627,0.09095
1950,1.625,0.09177
1955,1.623,0.0926
1960,1.62,0.09343
1965,1.618,0.09427
1970,1.616,0.09511
1975,1.613,0.09596
1980,1.611,0.09682
1985,1.608,0.09768
1990,1.606,0.09855
1995,1.604,0.09943
2000,1.601,0.1003
