Wavelength (nm),NiO_n,NiO_k
249.987385885838,1.63542691104157,1.64466907675194
251.535493755431,1.67854269110415,1.66509454949944
252.38697660587,1.71085797305064,1.68035038932147
253.677007206278,1.74320199246439,1.69560622914349
254.979769818017,1.77984705281307,1.72481646273637
256.147774911987,1.82293409540839,1.73667408231368
257.772300828794,1.87465195734082,1.74853170189098
258.965010336735,1.92634108180599,1.75981090100111
260.321706825072,1.97158822402452,1.77109010011123
261.844905521766,2.02974806820358,1.78757508342602
262.766910809457,2.06851491155246,1.79422691879866
264.163281217777,2.11806309470592,1.8008787541713
265.57372035989,2.17406283926176,1.80767519466073
266.680962251002,2.21929082316878,1.80601223581757
267.797186928371,2.26666932754326,1.80434927697441
268.923086086707,2.31189731145028,1.80131256952169
270.057611986624,2.36357685675969,1.79827586206896
271.367303731204,2.41311546075739,1.78793659621802
272.358014047342,2.4497317836388,1.77759733036707
273.521770125955,2.5014113289482,1.76559510567296
274.695817740495,2.55094035379015,1.75359288097886
275.710720206492,2.58970719713902,1.73640093931528
276.390883644905,2.61985280030653,1.71920899765171
277.764122245939,2.66078932243438,1.7
278.80124113332,2.70385720671818,1.67497616399173
280.022096385466,2.74693467015773,1.64995232798347
281.2536907793,2.79001213359729,1.61351872450871
282.675800155933,2.83094865572514,1.59071931776047
284.111714249651,2.87618621878791,1.56791991101223
285.745189077408,2.92358388147391,1.51025862068965
287.953377843936,2.98176288396449,1.42931012235817
290.009692246072,3.02272814355961,1.39473720800889
292.479257428575,3.06371256146624,1.35516963292547
294.797369999469,3.09608531834727,1.23956300651517
297.549601019406,3.12847723353981,1.12830228031145
300.355884229947,3.14796602592758,1.03902669632925
303.218195173783,3.1524011750431,0.913055555555555
305.505552908246,3.15680758669136,0.837808676307007
308.897175419349,3.15050929178108,0.753097392164132
311.273300394673,3.14416310109202,0.698467185761957
313.687056352938,3.13351586946803,0.660522803114571
316.814855060454,3.11429529344147,0.626342285078658
319.54724891836,3.09075451816846,0.566866889136076
323.02774762558,3.07154352129765,0.484523915461623
326.826722557423,3.04158950124529,0.42901001112347
330.224777772285,3.01591736381633,0.384206525769372
332.447377513996,2.99664889201098,0.340596032628846
337.494772502318,2.95598058624433,0.306818687430478
340.336975233012,2.93243023181556,0.280693362995921
344.55712609177,2.90032569129574,0.254568038561363
347.790958034923,2.87893543649019,0.231370967741934
351.364059847091,2.85325371990548,0.208173896922505
355.57927179526,2.82329012069736,0.184482758620688
360.479484923953,2.79334567980075,0.159405390910535
365.216889187268,2.76339165974838,0.134328023200381
369.464762752653,2.73987004278689,0.117316010942752
374.127777824617,2.71205696404623,0.100177975528364
380.854262923856,2.68430136024011,0.0864404894327028
387.828259292601,2.65224471549907,0.0738598442714124
393.664915887045,2.62230027460246,0.0599364373112978
401.480878910245,2.5945542499521,0.0404560622914345
409.614840973557,2.56250718436681,0.0325027808676304
417.299576553533,2.5368925218724,0.0245494994438262
425.275986565021,2.51772942078038,0.0166829810901001
432.301411444857,2.49638706175362,0.0123737486095658
441.743699603799,2.47294207803818,0.00806451612903158
455.771491286954,2.43883070438725,0.00640155728587265
467.746798441621,2.41971549907401,0.00473859844271373
478.304679194615,2.40056197713774,0.0011234705228027
490.426039793852,2.38572865444792,0.00170189098998818
500.352081287122,2.36869691551184,0.00126807563959907
519.017505353095,2.35825084615875,0.00119577308120088
533.319914737341,2.34556804393639,0.0011234705228027
549.106713299941,2.33719586180471,0.0011234705228027
564.426146718351,2.32235295995912,0.0011234705228027
584.432022698112,2.31185899482725,0.00112347
603.448088948163,2.29703525129318,0.0011234705228027
625.489092961184,2.29083274794048,0.00170189098998818
652.054568430952,2.28250846158758,0.0011234705228027
682.021446414978,2.27204323392298,0.001
711.447252205492,2.26369978925857,0.00098
756.148888748242,2.25760265661919,0.000978865406006335
760,2.25760265661919,0
770,2.25760265661919,0
780,2.25760265661919,0
790,2.25760265661919,0
800,2.25760265661919,0
810,2.25760265661919,0
820,2.25760265661919,0
830,2.25760265661919,0
840,2.25760265661919,0
850,2.25760265661919,0
860,2.25760265661919,0
870,2.25760265661919,0
880,2.25760265661919,0
890,2.25760265661919,0
900,2.25760265661919,0
910,2.25760265661919,0
920,2.25760265661919,0
930,2.25760265661919,0
940,2.25760265661919,0
950,2.25760265661919,0
960,2.25760265661919,0
970,2.25760265661919,0
980,2.25760265661919,0
990,2.25760265661919,0
1000,2.25760265661919,0
1010,2.25760265661919,0
1020,2.25760265661919,0
1030,2.25760265661919,0
1040,2.25760265661919,0
1050,2.25760265661919,0
1060,2.25760265661919,0
1070,2.25760265661919,0
1080,2.25760265661919,0
1090,2.25760265661919,0
1100,2.25760265661919,0
1110,2.25760265661919,0
1120,2.25760265661919,0
1130,2.25760265661919,0
1140,2.25760265661919,0
1150,2.25760265661919,0
1160,2.25760265661919,0
1170,2.25760265661919,0
1180,2.25760265661919,0
1190,2.25760265661919,0
1200,2.25760265661919,0
