"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
1620,1.506193,,,,,
1630,1.506071,,,,,
1640,1.50595,,,,,
1650,1.505828,,,,,
1660,1.505705,,,,,
1670,1.505583,,,,,
1680,1.50546,,,,,
1690,1.505336,,,,,
1700,1.505213,,,,,
1710,1.505088,,,,,
1720,1.504964,,,,,
1730,1.504839,,,,,
1740,1.504714,,,,,
1750,1.504589,,,,,
1760,1.504463,,,,,
1770,1.504336,,,,,
1780,1.50421,,,,,
1790,1.504083,,,,,
1800,1.503955,,,,,
1810,1.503827,,,,,
1820,1.503699,,,,,
1830,1.50357,,,,,
1840,1.503441,,,,,
1850,1.503312,,,,,
1860,1.503182,,,,,
1870,1.503051,,,,,
1880,1.50292,,,,,
1890,1.502789,,,,,
1900,1.502657,,,,,
1910,1.502525,,,,,
1920,1.502393,,,,,
1930,1.502259,,,,,
1940,1.502126,,,,,
1950,1.501992,,,,,
1960,1.501857,,,,,
1970,1.501722,,,,,
1980,1.501587,,,,,
1990,1.501451,,,,,
2000,1.501315,,,,,
2010,1.501178,,,,,
2020,1.50104,,,,,
2030,1.500902,,,,,
2040,1.500764,,,,,
2050,1.500625,,,,,
2060,1.500486,,,,,
2070,1.500346,,,,,
2080,1.500205,,,,,
2090,1.500065,,,,,
2100,1.499923,,,,,
2110,1.499781,,,,,
2120,1.499639,,,,,
2130,1.499496,,,,,
2140,1.499352,,,,,
2150,1.499208,,,,,
2160,1.499064,,,,,
2170,1.498919,,,,,
2180,1.498773,,,,,
2190,1.498627,,,,,
2200,1.498481,,,,,
2210,1.498333,,,,,
2220,1.498186,,,,,
2230,1.498038,,,,,
2240,1.497889,,,,,
2250,1.49774,,,,,
2260,1.49759,,,,,
2270,1.497439,,,,,
2280,1.497288,,,,,
2290,1.497137,,,,,
2300,1.496985,,,,,
2310,1.496832,,,,,
2320,1.496679,,,,,
2330,1.496526,,,,,
2340,1.496371,,,,,
2350,1.496217,,,,,
2360,1.496061,,,,,
2370,1.495905,,,,,
2380,1.495749,,,,,
2390,1.495592,,,,,
2400,1.495434,,,,,
2410,1.495276,,,,,
2420,1.495118,,,,,
2430,1.494958,,,,,
2440,1.494799,,,,,
2450,1.494638,,,,,
2460,1.494477,,,,,
2470,1.494316,,,,,
2480,1.494154,,,,,
2490,1.493991,,,,,
2500,1.493828,,,,,
2510,1.493664,,,,,
2520,1.493499,,,,,
2530,1.493335,,,,,
2540,1.493169,,,,,
2550,1.493003,,,,,
2560,1.492836,,,,,
2570,1.492669,,,,,
2580,1.492501,,,,,
2590,1.492333,,,,,
2600,1.492164,,,,,
2610,1.491994,,,,,
2620,1.491824,,,,,
2630,1.491653,,,,,
2640,1.491482,,,,,
2650,1.49131,,,,,
2660,1.491137,,,,,
2670,1.490964,,,,,
2680,1.490791,,,,,
2690,1.490616,,,,,
2700,1.490441,,,,,
2710,1.490266,,,,,
2720,1.49009,,,,,
2730,1.489913,,,,,
2740,1.489736,,,,,
2750,1.489558,,,,,
2760,1.48938,,,,,
2770,1.489201,,,,,
2780,1.489021,,,,,
2790,1.488841,,,,,
2800,1.48866,,,,,
2810,1.488479,,,,,
2820,1.488297,,,,,
2830,1.488114,,,,,
2840,1.487931,,,,,
2850,1.487748,,,,,
2860,1.487563,,,,,
2870,1.487378,,,,,
2880,1.487193,,,,,
2890,1.487007,,,,,
2900,1.48682,,,,,
2910,1.486632,,,,,
2920,1.486445,,,,,
2930,1.486256,,,,,
2940,1.486067,,,,,
2950,1.485877,,,,,
2960,1.485687,,,,,
2970,1.485496,,,,,
2980,1.485304,,,,,
2990,1.485112,,,,,
3000,1.484919,,,,,
