Wavelength (nm),IZOpvlab_n,IZOpvlab_k
1295.71578,1.66611,0.03007
1299.79036,1.66199,0.03049
1305.26316,1.65784,0.03092
1310.78224,1.65366,0.03136
1314.95228,1.64947,0.0318
1320.55378,1.64525,0.03224
1324.78632,1.64101,0.03269
1330.4721,1.63674,0.03315
1334.76857,1.63245,0.03361
1340.54054,1.62814,0.03408
1344.90239,1.6238,0.03455
1350.76253,1.61944,0.03503
1355.19126,1.61505,0.03552
1359.64912,1.61064,0.03601
1365.63877,1.6062,0.03651
1370.16575,1.60174,0.03701
1374.72284,1.59725,0.03753
1380.84633,1.59273,0.03804
1385.47486,1.58819,0.03857
1390.13453,1.58363,0.0391
1394.82565,1.57903,0.03963
1399.54853,1.57441,0.04018
1405.89569,1.56976,0.04073
1410.69397,1.56509,0.04129
1415.52511,1.56038,0.04185
1420.38946,1.55565,0.04243
1425.28736,1.55089,0.04301
1430.21915,1.54611,0.04359
1435.18519,1.54129,0.04419
1440.18583,1.53645,0.04479
1445.22145,1.53157,0.0454
1450.2924,1.52667,0.04602
1455.39906,1.52174,0.04665
1460.54181,1.51677,0.04728
1465.72104,1.51178,0.04793
1470.93713,1.50675,0.04858
1474.4352,1.50169,0.04924
1479.7136,1.49661,0.04991
1485.02994,1.49149,0.05059
1490.38462,1.48634,0.05128
1495.77805,1.48115,0.05198
1499.39541,1.47593,0.05268
1504.85437,1.47068,0.0534
1510.35323,1.4654,0.05413
1515.89242,1.46008,0.05486
1519.60784,1.45473,0.05561
1525.21525,1.44935,0.05637
1530.8642,1.44393,0.05714
1534.65347,1.43847,0.05792
1540.37267,1.43298,0.05871
1546.13466,1.42745,0.05951
1550,1.42189,0.06032
1555.83438,1.41628,0.06114
1559.74843,1.41064,0.06198
1565.65657,1.40497,0.06283
1569.62025,1.39925,0.06369
1575.60356,1.3935,0.06456
1579.61783,1.38771,0.06545
1585.67775,1.38188,0.06635
1589.74359,1.376,0.06727
1595.8816,1.37009,0.06819
1600,1.36414,0.06914
1606.21762,1.35814,0.07009
1610.38961,1.3521,0.07106
1614.58333,1.34602,0.07205
1620.91503,1.3399,0.07305
1625.16383,1.33373,0.07407
1629.43495,1.32752,0.0751
1635.88391,1.32127,0.07615
1640.21164,1.31496,0.07721
1644.56233,1.30862,0.0783
1651.13182,1.30222,0.0794
1655.54072,1.29578,0.08052
1659.97323,1.28929,0.08166
1664.42953,1.28276,0.08281
1671.15903,1.27617,0.08399
1675.67568,1.26953,0.08519
1680.2168,1.26284,0.0864
1684.78261,1.2561,0.08764
1689.3733,1.24931,0.0889
1696.30643,1.24247,0.09019
1700.96022,1.23557,0.09149
1705.63961,1.22862,0.09282
1710.34483,1.22161,0.09417
1715.07607,1.21455,0.09555
1719.83356,1.20743,0.09695
1724.61752,1.20025,0.09838
1729.42817,1.19301,0.09984
1734.26573,1.18572,0.10132
1739.13043,1.17836,0.10284
1744.0225,1.17094,0.10438
1751.41243,1.16346,0.10595
1756.37394,1.15591,0.10756
1761.36364,1.1483,0.10919
1766.38177,1.14063,0.11086
1771.42857,1.13289,0.11257
1773.9628,1.12508,0.11431
1779.05308,1.1172,0.11608
1784.17266,1.10925,0.1179
1789.32179,1.10124,0.11976
1794.50072,1.09314,0.12165
1799.70972,1.08498,0.12359
1804.94905,1.07674,0.12557
1810.21898,1.06842,0.1276
1815.51977,1.06003,0.12967
1820.85169,1.05155,0.1318
1826.21502,1.043,0.13397
1828.90855,1.03436,0.1362
1834.31953,1.02564,0.13848
1839.76261,1.01684,0.14082
1845.2381,1.00795,0.14322
1850.74627,0.99897,0.14567
1856.28743,0.9899,0.1482
1859.07046,0.98075,0.15079
1864.66165,0.9715,0.15345
1870.28658,0.96215,0.15618
1875.94554,0.95271,0.15899
1881.63885,0.94317,0.16188
1884.49848,0.93354,0.16486
1890.2439,0.9238,0.16792
1896.02446,0.91396,0.17107
1898.92802,0.90402,0.17432
1904.7619,0.89397,0.17766
1910.63174,0.88382,0.18112
1916.53787,0.87356,0.18468
1919.50464,0.86319,0.18836
1925.46584,0.8527,0.19216
1931.46417,0.84211,0.19609
1934.47738,0.83141,0.20015
1940.53208,0.82059,0.20436
1946.6248,0.80966,0.20872
1949.68553,0.79862,0.21323
1955.83596,0.78746,0.21791
1958.92575,0.77619,0.22276
1965.13471,0.76481,0.2278
1971.38315,0.75332,0.23304
1974.52229,0.74173,0.23848
1980.83067,0.73003,0.24413
1984,0.71823,0.25002
1990.36918,0.70634,0.25615
1996.77939,0.69436,0.26252
2000,0.6823,0.26916
