Wavelength (nm),ITOsput030E20_n,ITOsput030E20_k
250,2.48,0.523
255,2.48,0.4953
260,2.479,0.4688
265,2.477,0.4434
270,2.474,0.419
275,2.471,0.3956
280,2.467,0.3732
285,2.462,0.3518
290,2.457,0.3312
295,2.452,0.3116
300,2.446,0.2928
305,2.44,0.2748
310,2.434,0.2576
315,2.427,0.2411
320,2.421,0.2254
325,2.414,0.2104
330,2.407,0.1961
335,2.399,0.1825
340,2.392,0.1695
345,2.384,0.1571
350,2.377,0.1453
355,2.369,0.1341
360,2.361,0.1235
365,2.353,0.1134
370,2.346,0.1039
375,2.338,0.09479
380,2.33,0.08623
385,2.322,0.07816
390,2.314,0.07055
395,2.306,0.0634
400,2.298,0.05669
405,2.291,0.05042
410,2.283,0.04456
415,2.275,0.03911
420,2.268,0.03406
425,2.26,0.0294
430,2.253,0.02511
435,2.246,0.0212
440,2.238,0.01765
445,2.231,0.01445
450,2.224,0.01159
455,2.218,0.00907
460,2.211,0.00688
465,2.204,0.00501
470,2.198,0.00346
475,2.192,0.00221
480,2.186,0.00127
485,2.181,0.000616
490,2.175,0.000254
495,2.17,0.000168
500,2.166,0.000174
505,2.162,0.000179
510,2.158,0.000185
515,2.154,0.000191
520,2.15,0.000197
525,2.147,0.000203
530,2.144,0.000209
535,2.141,0.000215
540,2.138,0.000222
545,2.135,0.000228
550,2.132,0.000235
555,2.129,0.000241
560,2.127,0.000248
565,2.124,0.000255
570,2.122,0.000262
575,2.12,0.00027
580,2.118,0.000277
585,2.115,0.000285
590,2.113,0.000292
595,2.111,0.0003
600,2.109,0.000308
605,2.108,0.000316
610,2.106,0.000324
615,2.104,0.000332
620,2.102,0.000341
625,2.101,0.000349
630,2.099,0.000358
635,2.097,0.000367
640,2.096,0.000376
645,2.094,0.000385
650,2.093,0.000394
655,2.092,0.000404
660,2.09,0.000413
665,2.089,0.000423
670,2.088,0.000433
675,2.086,0.000443
680,2.085,0.000453
685,2.084,0.000463
690,2.083,0.000474
695,2.081,0.000484
700,2.08,0.000495
705,2.079,0.000506
710,2.078,0.000517
715,2.077,0.000528
720,2.076,0.00054
725,2.075,0.000551
730,2.074,0.000563
735,2.073,0.000575
740,2.072,0.000587
745,2.071,0.000599
750,2.07,0.000612
755,2.069,0.000624
760,2.068,0.000637
765,2.067,0.00065
770,2.066,0.000663
775,2.066,0.000676
780,2.065,0.00069
785,2.064,0.000703
790,2.063,0.000717
795,2.062,0.000731
800,2.062,0.000745
805,2.061,0.000759
810,2.06,0.000774
815,2.059,0.000789
820,2.059,0.000803
825,2.058,0.000818
830,2.057,0.000834
835,2.056,0.000849
840,2.056,0.000865
845,2.055,0.00088
850,2.054,0.000896
855,2.054,0.000912
860,2.053,0.000929
865,2.052,0.000945
870,2.052,0.000962
875,2.051,0.000979
880,2.051,0.000996
885,2.05,0.00101
890,2.049,0.00103
895,2.049,0.00105
900,2.048,0.00107
905,2.048,0.00109
910,2.047,0.0011
915,2.046,0.00112
920,2.046,0.00114
925,2.045,0.00116
930,2.045,0.00118
935,2.044,0.0012
940,2.044,0.00122
945,2.043,0.00124
950,2.043,0.00126
955,2.042,0.00128
960,2.042,0.0013
965,2.041,0.00132
970,2.041,0.00134
975,2.04,0.00136
980,2.04,0.00138
985,2.039,0.0014
990,2.039,0.00143
995,2.038,0.00145
1000,2.038,0.00147
1005,2.037,0.00149
1010,2.037,0.00151
1015,2.036,0.00154
1020,2.036,0.00156
1025,2.035,0.00158
1030,2.035,0.00161
1035,2.034,0.00163
1040,2.034,0.00165
1045,2.033,0.00168
1050,2.033,0.0017
1055,2.033,0.00173
1060,2.032,0.00175
1065,2.032,0.00178
1070,2.031,0.0018
1075,2.031,0.00183
1080,2.03,0.00185
1085,2.03,0.00188
1090,2.03,0.00191
1095,2.029,0.00193
1100,2.029,0.00196
1105,2.028,0.00199
1110,2.028,0.00201
1115,2.027,0.00204
1120,2.027,0.00207
1125,2.027,0.0021
1130,2.026,0.00213
1135,2.026,0.00215
1140,2.025,0.00218
1145,2.025,0.00221
1150,2.025,0.00224
1155,2.024,0.00227
1160,2.024,0.0023
1165,2.023,0.00233
1170,2.023,0.00236
1175,2.023,0.00239
1180,2.022,0.00242
1185,2.022,0.00246
1190,2.022,0.00249
1195,2.021,0.00252
1200,2.021,0.00255
1205,2.02,0.00258
1210,2.02,0.00262
1215,2.02,0.00265
1220,2.019,0.00268
1225,2.019,0.00272
1230,2.018,0.00275
1235,2.018,0.00278
1240,2.018,0.00282
1245,2.017,0.00285
1250,2.017,0.00289
1255,2.017,0.00292
1260,2.016,0.00296
1265,2.016,0.00299
1270,2.016,0.00303
1275,2.015,0.00306
1280,2.015,0.0031
1285,2.014,0.00314
1290,2.014,0.00317
1295,2.014,0.00321
1300,2.013,0.00325
1305,2.013,0.00329
1310,2.013,0.00332
1315,2.012,0.00336
1320,2.012,0.0034
1325,2.012,0.00344
1330,2.011,0.00348
1335,2.011,0.00352
1340,2.011,0.00356
1345,2.01,0.0036
1350,2.01,0.00364
1355,2.009,0.00368
1360,2.009,0.00372
1365,2.009,0.00377
1370,2.008,0.00381
1375,2.008,0.00385
1380,2.008,0.00389
1385,2.007,0.00393
1390,2.007,0.00398
1395,2.007,0.00402
1400,2.006,0.00406
1405,2.006,0.00411
1410,2.006,0.00415
1415,2.005,0.0042
1420,2.005,0.00424
1425,2.005,0.00429
1430,2.004,0.00433
1435,2.004,0.00438
1440,2.004,0.00443
1445,2.003,0.00447
1450,2.003,0.00452
1455,2.003,0.00457
1460,2.002,0.00461
1465,2.002,0.00466
1470,2.002,0.00471
1475,2.001,0.00476
1480,2.001,0.00481
1485,2,0.00486
1490,2,0.00491
1495,2,0.00496
1500,1.999,0.00501
1505,1.999,0.00506
1510,1.999,0.00511
1515,1.998,0.00516
1520,1.998,0.00521
1525,1.998,0.00526
1530,1.997,0.00531
1535,1.997,0.00537
1540,1.997,0.00542
1545,1.996,0.00547
1550,1.996,0.00553
1555,1.996,0.00558
1560,1.995,0.00564
1565,1.995,0.00569
1570,1.995,0.00575
1575,1.994,0.0058
1580,1.994,0.00586
1585,1.994,0.00591
1590,1.993,0.00597
1595,1.993,0.00603
1600,1.993,0.00608
1605,1.992,0.00614
1610,1.992,0.0062
1615,1.992,0.00626
1620,1.991,0.00632
1625,1.991,0.00637
1630,1.99,0.00643
1635,1.99,0.00649
1640,1.99,0.00655
1645,1.989,0.00661
1650,1.989,0.00668
1655,1.989,0.00674
1660,1.988,0.0068
