Wavelength (nm),IZrO_n,IZrO_k
1360.17410228509,1.571881,0.028727
1365.17418631765,1.568881,0.029099
1370.17482988837,1.565867,0.029476
1375.17563987255,1.562837,0.029856
1380.17621733768,1.559794,0.030241
1385.17615754368,1.556736,0.03063
1390.17660848479,1.553663,0.031023
1395.17718750281,1.550575,0.03142
1400.17908742199,1.547472,0.031821
1405.17876366933,1.544354,0.032227
1410.18059409544,1.541221,0.032637
1415.1810119229,1.538073,0.033052
1420.18123345031,1.534909,0.033471
1425.18251530922,1.53173,0.033894
1430.18285579835,1.528534,0.034323
1435.18352409314,1.525324,0.034756
1440.18415774198,1.522097,0.035193
1445.18438921147,1.518854,0.035635
1450.18554188405,1.515596,0.036083
1455.18556549802,1.512321,0.036534
1460.18579686696,1.50903,0.036991
1465.18761491088,1.505722,0.037453
1470.18721174253,1.502398,0.03792
1475.18769978979,1.499057,0.038392
1480.18874793937,1.4957,0.038869
1485.19002048125,1.492325,0.039352
1490.18938624627,1.488934,0.039839
1495.19007000866,1.485525,0.040332
1500.19175838202,1.482099,0.040831
1505.19230652513,1.478656,0.041335
1510.19319511818,1.475196,0.041844
1515.19409758583,1.471717,0.042359
1520.1946829965,1.468221,0.04288
1525.19461606301,1.464707,0.043406
1530.1954454473,1.461175,0.043939
1535.19496357007,1.457625,0.044477
1540.19664833336,1.454056,0.045021
1545.19637078233,1.450469,0.045572
1550.1976502004,1.446864,0.046128
1555.19825015113,1.443239,0.046691
1560.19980623325,1.439596,0.04726
1565.20004897561,1.435934,0.047835
1570.20063111935,1.432253,0.048417
1575.20125101467,1.428552,0.049006
1580.20160314001,1.424832,0.049601
1585.20137810249,1.421093,0.050203
1590.20230194607,1.417333,0.050811
1595.20409607245,1.413554,0.051427
1600.20441320891,1.409755,0.05205
1605.2050066862,1.405935,0.052679
1610.20558689397,1.402095,0.053316
1615.2058605921,1.398235,0.053961
1620.2055309113,1.394354,0.054613
1625.20642742929,1.390452,0.055272
1630.20828540214,1.386529,0.055939
1635.20868032066,1.382585,0.056614
1640.20947062239,1.378619,0.057296
1645.21038127751,1.374632,0.057987
1650.21113386806,1.370623,0.058686
1655.21144658806,1.366593,0.059393
1660.21103424453,1.36254,0.060108
1665.2118444907,1.358465,0.060832
1670.21362571051,1.354367,0.061564
1675.21385996293,1.350247,0.062305
1680.21452545457,1.346104,0.063055
1685.21536100982,1.341938,0.063814
1690.21610230714,1.337748,0.064583
1695.21648187896,1.333536,0.06536
1700.21622911236,1.329299,0.066147
1705.21741522044,1.325039,0.066944
1710.217445873,1.320754,0.06775
1715.21841369962,1.316446,0.068567
1720.22007718794,1.312113,0.069393
1725.21979161014,1.307755,0.07023
1730.21968208609,1.303372,0.071077
1735.22192648816,1.298965,0.071935
1740.22142914281,1.294531,0.072803
1745.2228044323,1.290072,0.073683
1750.22336519963,1.285587,0.074573
1755.2228496043,1.281076,0.075475
1760.22349160203,1.276539,0.076389
1765.22506619594,1.271975,0.077315
1770.22481855196,1.267384,0.078252
1775.22755840356,1.262767,0.079201
1780.22798403537,1.258121,0.080163
1785.22838685899,1.253448,0.081138
1790.22852844659,1.248747,0.082126
1795.22816770906,1.244019,0.083126
1800.22967446331,1.239261,0.08414
1805.23021780685,1.234475,0.085168
1810.22954878569,1.22966,0.086209
1815.23273040281,1.224815,0.087265
1820.23158043075,1.219941,0.088335
1825.23385808807,1.215037,0.08942
1830.23398951158,1.210103,0.09052
1835.23442899789,1.205138,0.091635
1840.23495645025,1.200142,0.092766
1845.23534935216,1.195116,0.093912
1850.23538276744,1.190057,0.095075
1855.23760506779,1.184967,0.096255
1860.23625000375,1.179845,0.097451
1865.23665190021,1.17469,0.098665
1870.23862133248,1.169503,0.099897
1875.23913079642,1.164282,0.101146
1880.24079212725,1.159028,0.102414
1885.24054301009,1.15374,0.103701
1890.24102097405,1.148417,0.105007
1895.24202546349,1.14306,0.106333
1900.24335374562,1.137668,0.107679
1905.24187352882,1.132241,0.109046
1910.24321709606,1.126777,0.110433
1915.24426314838,1.121278,0.111843
1920.24480024034,1.115742,0.113274
1925.24461474924,1.110168,0.114728
1930.24649559079,1.104558,0.116205
1935.2472512466,1.09891,0.117706
1940.24666168044,1.093223,0.119231
1945.24755628276,1.087498,0.120781
1950.24975779156,1.081733,0.122357
1955.25000394204,1.075929,0.123959
1960.25116508477,1.070085,0.125588
1965.24994334058,1.0642,0.127244
1970.25236708344,1.058275,0.128928
1975.25200392502,1.052308,0.130641
1980.25177943189,1.046299,0.132385
1985.25468095837,1.040247,0.134158
1990.25417471864,1.034154,0.135963
1995.25322820709,1.028016,0.137801
2000.2548711852,1.021835,0.139671
