Wavelength (nm),ITOsput065E20_n,ITOsput065E20_k
250,2.481,0.5107
255,2.48,0.4828
260,2.478,0.456
265,2.476,0.4304
270,2.472,0.4059
275,2.469,0.3823
280,2.464,0.3598
285,2.459,0.3383
290,2.454,0.3177
295,2.448,0.298
300,2.441,0.2791
305,2.435,0.2612
310,2.428,0.244
315,2.421,0.2276
320,2.414,0.212
325,2.406,0.1971
330,2.398,0.1829
335,2.391,0.1694
340,2.383,0.1565
345,2.375,0.1443
350,2.366,0.1327
355,2.358,0.1217
360,2.35,0.1113
365,2.342,0.1015
370,2.333,0.09221
375,2.325,0.08345
380,2.316,0.0752
385,2.308,0.06746
390,2.3,0.06021
395,2.292,0.05343
400,2.283,0.04711
405,2.275,0.04125
410,2.267,0.03582
415,2.259,0.03082
420,2.251,0.02624
425,2.243,0.02206
430,2.236,0.01828
435,2.228,0.01489
440,2.221,0.01188
445,2.213,0.00924
450,2.206,0.00696
455,2.199,0.00503
460,2.193,0.00345
465,2.186,0.00222
470,2.18,0.00131
475,2.174,0.000725
480,2.168,0.00046
485,2.163,0.00045
490,2.159,0.000465
495,2.154,0.000481
500,2.15,0.000496
505,2.146,0.000512
510,2.142,0.000528
515,2.139,0.000545
520,2.135,0.000562
525,2.132,0.000579
530,2.129,0.000597
535,2.126,0.000614
540,2.123,0.000633
545,2.12,0.000651
550,2.117,0.00067
555,2.115,0.000689
560,2.112,0.000709
565,2.11,0.000729
570,2.107,0.000749
575,2.105,0.00077
580,2.103,0.000791
585,2.101,0.000812
590,2.099,0.000834
595,2.097,0.000856
600,2.095,0.000879
605,2.093,0.000902
610,2.091,0.000925
615,2.089,0.000949
620,2.087,0.000973
625,2.086,0.000997
630,2.084,0.00102
635,2.082,0.00105
640,2.081,0.00107
645,2.079,0.0011
650,2.078,0.00112
655,2.076,0.00115
660,2.075,0.00118
665,2.073,0.00121
670,2.072,0.00124
675,2.07,0.00126
680,2.069,0.00129
685,2.068,0.00132
690,2.067,0.00135
695,2.065,0.00138
700,2.064,0.00141
705,2.063,0.00145
710,2.062,0.00148
715,2.06,0.00151
720,2.059,0.00154
725,2.058,0.00157
730,2.057,0.00161
735,2.056,0.00164
740,2.055,0.00168
745,2.054,0.00171
750,2.053,0.00175
755,2.052,0.00178
760,2.051,0.00182
765,2.05,0.00186
770,2.049,0.00189
775,2.048,0.00193
780,2.047,0.00197
785,2.046,0.00201
790,2.045,0.00205
795,2.044,0.00209
800,2.043,0.00213
805,2.042,0.00217
810,2.041,0.00221
815,2.04,0.00225
820,2.04,0.00229
825,2.039,0.00234
830,2.038,0.00238
835,2.037,0.00242
840,2.036,0.00247
845,2.035,0.00251
850,2.035,0.00256
855,2.034,0.00261
860,2.033,0.00265
865,2.032,0.0027
870,2.031,0.00275
875,2.031,0.0028
880,2.03,0.00284
885,2.029,0.00289
890,2.028,0.00294
895,2.028,0.00299
900,2.027,0.00305
905,2.026,0.0031
910,2.025,0.00315
915,2.025,0.0032
920,2.024,0.00326
925,2.023,0.00331
930,2.023,0.00336
935,2.022,0.00342
940,2.021,0.00348
945,2.02,0.00353
950,2.02,0.00359
955,2.019,0.00365
960,2.018,0.00371
965,2.018,0.00377
970,2.017,0.00382
975,2.016,0.00389
980,2.016,0.00395
985,2.015,0.00401
990,2.014,0.00407
995,2.014,0.00413
1000,2.013,0.0042
1005,2.012,0.00426
1010,2.012,0.00432
1015,2.011,0.00439
1020,2.01,0.00446
1025,2.01,0.00452
1030,2.009,0.00459
1035,2.009,0.00466
1040,2.008,0.00473
1045,2.007,0.0048
1050,2.007,0.00487
1055,2.006,0.00494
1060,2.005,0.00501
1065,2.005,0.00508
1070,2.004,0.00515
1075,2.004,0.00523
