Wavelength (nm),ITOsput065E20_n,ITOsput065E20_k
1080,2.003,0.0053
1085,2.002,0.00537
1090,2.002,0.00545
1095,2.001,0.00553
1100,2.001,0.0056
1105,2,0.00568
1110,1.999,0.00576
1115,1.999,0.00584
1120,1.998,0.00592
1125,1.997,0.006
1130,1.997,0.00608
1135,1.996,0.00616
1140,1.996,0.00624
1145,1.995,0.00633
1150,1.994,0.00641
1155,1.994,0.0065
1160,1.993,0.00658
1165,1.993,0.00667
1170,1.992,0.00676
1175,1.992,0.00684
1180,1.991,0.00693
1185,1.99,0.00702
1190,1.99,0.00711
1195,1.989,0.0072
1200,1.989,0.0073
1205,1.988,0.00739
1210,1.987,0.00748
1215,1.987,0.00758
1220,1.986,0.00767
1225,1.986,0.00777
1230,1.985,0.00786
1235,1.984,0.00796
1240,1.984,0.00806
1245,1.983,0.00816
1250,1.983,0.00826
1255,1.982,0.00836
1260,1.981,0.00846
1265,1.981,0.00856
1270,1.98,0.00866
1275,1.98,0.00877
1280,1.979,0.00887
1285,1.979,0.00898
1290,1.978,0.00908
1295,1.977,0.00919
1300,1.977,0.0093
1305,1.976,0.00941
1310,1.976,0.00952
1315,1.975,0.00963
1320,1.974,0.00974
1325,1.974,0.00985
1330,1.973,0.00996
1335,1.973,0.01008
1340,1.972,0.01019
1345,1.971,0.01031
1350,1.971,0.01043
1355,1.97,0.01054
1360,1.97,0.01066
1365,1.969,0.01078
1370,1.968,0.0109
1375,1.968,0.01102
1380,1.967,0.01115
1385,1.967,0.01127
1390,1.966,0.01139
1395,1.966,0.01152
1400,1.965,0.01164
1405,1.964,0.01177
1410,1.964,0.01189
1415,1.963,0.01202
1420,1.963,0.01215
1425,1.962,0.01228
1430,1.961,0.01241
1435,1.961,0.01255
1440,1.96,0.01268
1445,1.96,0.01281
1450,1.959,0.01295
1455,1.958,0.01308
1460,1.958,0.01322
1465,1.957,0.01336
1470,1.957,0.0135
1475,1.956,0.01364
1480,1.955,0.01378
1485,1.955,0.01392
1490,1.954,0.01406
1495,1.953,0.01421
1500,1.953,0.01435
1505,1.952,0.0145
1510,1.952,0.01464
1515,1.951,0.01479
1520,1.95,0.01494
1525,1.95,0.01509
1530,1.949,0.01524
1535,1.949,0.01539
1540,1.948,0.01554
1545,1.947,0.0157
1550,1.947,0.01585
1555,1.946,0.01601
1560,1.946,0.01616
1565,1.945,0.01632
1570,1.944,0.01648
1575,1.944,0.01664
1580,1.943,0.0168
1585,1.942,0.01696
1590,1.942,0.01713
1595,1.941,0.01729
1600,1.941,0.01745
1605,1.94,0.01762
1610,1.939,0.01779
1615,1.939,0.01795
1620,1.938,0.01812
1625,1.937,0.01829
1630,1.937,0.01847
1635,1.936,0.01864
1640,1.935,0.01881
1645,1.935,0.01899
1650,1.934,0.01916
1655,1.934,0.01934
1660,1.933,0.01952
1665,1.932,0.0197
1670,1.932,0.01988
1675,1.931,0.02006
1680,1.93,0.02024
1685,1.93,0.02042
1690,1.929,0.02061
1695,1.928,0.02079
1700,1.928,0.02098
1705,1.927,0.02117
1710,1.926,0.02136
1715,1.926,0.02155
1720,1.925,0.02174
1725,1.925,0.02193
1730,1.924,0.02212
1735,1.923,0.02232
1740,1.923,0.02252
1745,1.922,0.02271
1750,1.921,0.02291
1755,1.921,0.02311
1760,1.92,0.02331
1765,1.919,0.02351
1770,1.919,0.02372
1775,1.918,0.02392
1780,1.917,0.02413
1785,1.917,0.02433
1790,1.916,0.02454
1795,1.915,0.02475
1800,1.915,0.02496
1805,1.914,0.02517
1810,1.913,0.02538
1815,1.913,0.0256
1820,1.912,0.02581
1825,1.911,0.02603
1830,1.911,0.02625
1835,1.91,0.02646
1840,1.909,0.02669
1845,1.908,0.02691
1850,1.908,0.02713
1855,1.907,0.02735
1860,1.906,0.02758
1865,1.906,0.0278
1870,1.905,0.02803
1875,1.904,0.02826
1880,1.904,0.02849
1885,1.903,0.02872
1890,1.902,0.02895
1895,1.902,0.02919
1900,1.901,0.02942
1905,1.9,0.02966
1910,1.899,0.0299
1915,1.899,0.03013
1920,1.898,0.03037
1925,1.897,0.03062
1930,1.897,0.03086
1935,1.896,0.0311
1940,1.895,0.03135
1945,1.895,0.03159
1950,1.894,0.03184
1955,1.893,0.03209
1960,1.892,0.03234
1965,1.892,0.03259
1970,1.891,0.03285
1975,1.89,0.0331
1980,1.89,0.03336
1985,1.889,0.03362
1990,1.888,0.03387
1995,1.887,0.03413
2000,1.887,0.0344
