Wavelength (nm),ITOsput078E20_n,ITOsput078E20_k
250,2.557,0.5335
255,2.556,0.5026
260,2.554,0.4731
265,2.551,0.4447
270,2.547,0.4175
275,2.542,0.3915
280,2.537,0.3667
285,2.531,0.3429
290,2.524,0.3202
295,2.517,0.2985
300,2.509,0.2778
305,2.501,0.258
310,2.493,0.2392
315,2.485,0.2213
320,2.476,0.2043
325,2.466,0.1882
330,2.457,0.1728
335,2.448,0.1583
340,2.438,0.1445
345,2.428,0.1315
350,2.418,0.1193
355,2.408,0.1077
360,2.398,0.09683
365,2.388,0.08663
370,2.378,0.07709
375,2.368,0.06818
380,2.358,0.0599
385,2.348,0.05222
390,2.338,0.04513
395,2.328,0.03862
400,2.318,0.03268
405,2.308,0.02728
410,2.299,0.02242
415,2.289,0.01808
420,2.28,0.01426
425,2.271,0.01095
430,2.262,0.00812
435,2.253,0.00578
440,2.245,0.00391
445,2.237,0.00251
450,2.229,0.00156
455,2.222,0.00105
460,2.215,0.000964
465,2.209,0.000998
470,2.203,0.00103
475,2.198,0.00107
480,2.193,0.00111
485,2.188,0.00114
490,2.183,0.00118
495,2.179,0.00122
500,2.175,0.00126
505,2.17,0.0013
510,2.167,0.00134
515,2.163,0.00138
520,2.159,0.00143
525,2.156,0.00147
530,2.152,0.00152
535,2.149,0.00156
540,2.146,0.00161
545,2.143,0.00166
550,2.14,0.0017
555,2.137,0.00175
560,2.134,0.0018
565,2.132,0.00185
570,2.129,0.00191
575,2.126,0.00196
580,2.124,0.00201
585,2.121,0.00207
590,2.119,0.00212
595,2.117,0.00218
600,2.114,0.00224
605,2.112,0.00229
610,2.11,0.00235
615,2.108,0.00242
620,2.106,0.00248
625,2.104,0.00254
630,2.102,0.0026
635,2.1,0.00267
640,2.098,0.00273
645,2.096,0.0028
650,2.094,0.00287
655,2.092,0.00294
660,2.09,0.00301
665,2.088,0.00308
670,2.087,0.00315
675,2.085,0.00322
680,2.083,0.0033
685,2.081,0.00338
690,2.08,0.00345
695,2.078,0.00353
700,2.076,0.00361
705,2.075,0.00369
710,2.073,0.00377
715,2.072,0.00385
720,2.07,0.00394
725,2.068,0.00402
730,2.067,0.00411
735,2.065,0.0042
740,2.064,0.00429
745,2.062,0.00438
750,2.061,0.00447
755,2.059,0.00456
760,2.058,0.00465
765,2.057,0.00475
770,2.055,0.00485
775,2.054,0.00494
780,2.052,0.00504
785,2.051,0.00514
790,2.05,0.00525
795,2.048,0.00535
800,2.047,0.00545
805,2.045,0.00556
810,2.044,0.00567
815,2.043,0.00578
820,2.041,0.00589
825,2.04,0.006
830,2.039,0.00611
835,2.037,0.00622
840,2.036,0.00634
845,2.035,0.00646
850,2.034,0.00658
855,2.032,0.0067
860,2.031,0.00682
865,2.03,0.00694
870,2.028,0.00707
875,2.027,0.00719
880,2.026,0.00732
885,2.025,0.00745
890,2.023,0.00758
895,2.022,0.00771
900,2.021,0.00785
905,2.019,0.00798
910,2.018,0.00812
915,2.017,0.00826
920,2.016,0.0084
925,2.014,0.00854
930,2.013,0.00868
935,2.012,0.00883
940,2.011,0.00898
945,2.01,0.00912
950,2.008,0.00928
955,2.007,0.00943
960,2.006,0.00958
965,2.005,0.00974
970,2.003,0.00989
975,2.002,0.01005
980,2.001,0.01021
985,2,0.01037
990,1.998,0.01054
995,1.997,0.0107
1000,1.996,0.01087
1005,1.995,0.01104
1010,1.993,0.01121
1015,1.992,0.01138
1020,1.991,0.01156
1025,1.99,0.01173
1030,1.989,0.01191
1035,1.987,0.01209
1040,1.986,0.01227
1045,1.985,0.01246
1050,1.984,0.01265
1055,1.982,0.01283
1060,1.981,0.01302
1065,1.98,0.01321
1070,1.979,0.01341
1075,1.977,0.0136
1080,1.976,0.0138
1085,1.975,0.014
1090,1.974,0.0142
1095,1.972,0.0144
1100,1.971,0.01461
1105,1.97,0.01482
1110,1.969,0.01503
1115,1.967,0.01524
1120,1.966,0.01545
1125,1.965,0.01567
1130,1.964,0.01588
1135,1.962,0.0161
1140,1.961,0.01632
1145,1.96,0.01655
1150,1.959,0.01678
1155,1.957,0.017
1160,1.956,0.01723
1165,1.955,0.01747
1170,1.953,0.0177
1175,1.952,0.01794
1180,1.951,0.01818
1185,1.95,0.01842
1190,1.948,0.01866
1195,1.947,0.01891
1200,1.946,0.01915
1205,1.944,0.0194
1210,1.943,0.01966
1215,1.942,0.01991
1220,1.941,0.02017
1225,1.939,0.02043
1230,1.938,0.02069
1235,1.937,0.02096
1240,1.935,0.02122
1245,1.934,0.02149
1250,1.933,0.02176
1255,1.931,0.02203
1260,1.93,0.02231
1265,1.929,0.02259
1270,1.927,0.02287
1275,1.926,0.02315
1280,1.925,0.02344
1285,1.923,0.02373
1290,1.922,0.02402
1295,1.921,0.02431
1300,1.919,0.02461
1305,1.918,0.02491
1310,1.917,0.02521
1315,1.915,0.02551
1320,1.914,0.02582
1325,1.912,0.02612
1330,1.911,0.02644
1335,1.91,0.02675
1340,1.908,0.02707
1345,1.907,0.02739
1350,1.906,0.02771
1355,1.904,0.02803
1360,1.903,0.02836
1365,1.901,0.02869
1370,1.9,0.02902
1375,1.898,0.02936
1380,1.897,0.02969
1385,1.896,0.03004
1390,1.894,0.03038
1395,1.893,0.03073
1400,1.891,0.03107
1405,1.89,0.03143
1410,1.889,0.03178
1415,1.887,0.03214
1420,1.886,0.0325
1425,1.884,0.03286
1430,1.883,0.03323
1435,1.881,0.0336
1440,1.88,0.03397
1445,1.878,0.03435
1450,1.877,0.03473
1455,1.875,0.03511
1460,1.874,0.03549
1465,1.872,0.03588
1470,1.871,0.03627
1475,1.869,0.03666
1480,1.868,0.03706
1485,1.866,0.03746
1490,1.865,0.03786
1495,1.863,0.03827
1500,1.862,0.03868
1505,1.86,0.03909
1510,1.859,0.0395
1515,1.857,0.03992
1520,1.856,0.04034
1525,1.854,0.04077
1530,1.853,0.0412
1535,1.851,0.04163
1540,1.85,0.04206
1545,1.848,0.0425
1550,1.847,0.04294
1555,1.845,0.04339
1560,1.843,0.04383
1565,1.842,0.04429
1570,1.84,0.04474
1575,1.839,0.0452
1580,1.837,0.04566
1585,1.836,0.04613
1590,1.834,0.04659
1595,1.832,0.04707
1600,1.831,0.04754
1605,1.829,0.04802
1610,1.828,0.0485
1615,1.826,0.04899
1620,1.824,0.04948
1625,1.823,0.04997
1630,1.821,0.05047
1635,1.819,0.05097
1640,1.818,0.05147
1645,1.816,0.05198
1650,1.815,0.05249
1655,1.813,0.05301
1660,1.811,0.05353
1665,1.81,0.05405
1670,1.808,0.05458
1675,1.806,0.05511
1680,1.805,0.05564
1685,1.803,0.05618
1690,1.801,0.05672
1695,1.8,0.05727
1700,1.798,0.05782
1705,1.796,0.05837
1710,1.794,0.05893
1715,1.793,0.05949
1720,1.791,0.06006
1725,1.789,0.06063
1730,1.788,0.0612
1735,1.786,0.06178
1740,1.784,0.06236
1745,1.782,0.06295
1750,1.781,0.06354
1755,1.779,0.06413
1760,1.777,0.06473
1765,1.775,0.06533
1770,1.774,0.06594
1775,1.772,0.06655
1780,1.77,0.06717
1785,1.768,0.06779
1790,1.767,0.06841
1795,1.765,0.06904
1800,1.763,0.06967
1805,1.761,0.07031
1810,1.759,0.07095
1815,1.758,0.0716
1820,1.756,0.07225
1825,1.754,0.0729
1830,1.752,0.07356
1835,1.75,0.07423
1840,1.748,0.0749
1845,1.747,0.07557
1850,1.745,0.07625
1855,1.743,0.07693
1860,1.741,0.07762
1865,1.739,0.07831
1870,1.737,0.07901
1875,1.735,0.07971
1880,1.734,0.08042
1885,1.732,0.08113
1890,1.73,0.08184
1895,1.728,0.08257
1900,1.726,0.08329
1905,1.724,0.08402
1910,1.722,0.08476
1915,1.72,0.0855
1920,1.718,0.08624
1925,1.716,0.087
1930,1.715,0.08775
1935,1.713,0.08851
1940,1.711,0.08928
1945,1.709,0.09005
1950,1.707,0.09083
1955,1.705,0.09161
1960,1.703,0.0924
1965,1.701,0.09319
1970,1.699,0.09399
1975,1.697,0.09479
1980,1.695,0.0956
1985,1.693,0.09641
1990,1.691,0.09723
1995,1.689,0.09806
2000,1.687,0.09889
