Wavelength (nm),ITOsput4pt9E20_n,ITOsput4pt9E20_k
1610,0.4703,0.8119
1615,0.4668,0.8253
1620,0.4636,0.8387
1625,0.4605,0.8521
1630,0.4575,0.8653
1635,0.4547,0.8785
1640,0.4521,0.8916
1645,0.4496,0.9046
1650,0.4472,0.9175
1655,0.4449,0.9304
1660,0.4428,0.9432
1665,0.4408,0.9559
1670,0.4389,0.9685
1675,0.4371,0.9811
1680,0.4354,0.9935
1685,0.4338,1.006
1690,0.4323,1.018
1695,0.4308,1.03
1700,0.4295,1.043
1705,0.4283,1.055
1710,0.4271,1.067
1715,0.426,1.079
1720,0.4249,1.091
1725,0.424,1.102
1730,0.4231,1.114
1735,0.4223,1.126
1740,0.4215,1.137
1745,0.4208,1.149
1750,0.4201,1.16
1755,0.4195,1.172
1760,0.419,1.183
1765,0.4185,1.194
1770,0.418,1.205
1775,0.4176,1.217
1780,0.4173,1.228
1785,0.417,1.239
1790,0.4167,1.25
1795,0.4165,1.261
1800,0.4163,1.271
1805,0.4161,1.282
1810,0.416,1.293
1815,0.4159,1.304
1820,0.4159,1.314
1825,0.4159,1.325
1830,0.4159,1.335
1835,0.416,1.346
1840,0.416,1.356
1845,0.4162,1.367
1850,0.4163,1.377
1855,0.4165,1.387
1860,0.4167,1.398
1865,0.4169,1.408
1870,0.4172,1.418
1875,0.4174,1.428
1880,0.4177,1.438
1885,0.4181,1.448
1890,0.4184,1.458
1895,0.4188,1.468
1900,0.4192,1.478
1905,0.4196,1.488
1910,0.42,1.498
1915,0.4205,1.508
1920,0.421,1.517
1925,0.4215,1.527
1930,0.422,1.537
1935,0.4225,1.547
1940,0.4231,1.556
1945,0.4236,1.566
1950,0.4242,1.575
1955,0.4248,1.585
1960,0.4254,1.594
1965,0.4261,1.604
1970,0.4267,1.613
1975,0.4274,1.623
1980,0.4281,1.632
1985,0.4288,1.641
1990,0.4295,1.65
1995,0.4302,1.66
2000,0.4309,1.669
