Wavelength (nm),ITOsput6pt1E20_n,ITOsput6pt1E20_k
250,2.294,0.3436
255,2.287,0.3195
260,2.279,0.2966
265,2.271,0.2748
270,2.262,0.2541
275,2.253,0.2345
280,2.244,0.216
285,2.234,0.1984
290,2.224,0.1818
295,2.213,0.1662
300,2.202,0.1514
305,2.192,0.1375
310,2.181,0.1244
315,2.169,0.1121
320,2.158,0.1006
325,2.147,0.08986
330,2.135,0.07985
335,2.124,0.07054
340,2.113,0.06192
345,2.101,0.05397
350,2.09,0.04666
355,2.079,0.03999
360,2.067,0.03393
365,2.056,0.02847
370,2.045,0.0236
375,2.034,0.01929
380,2.023,0.01555
385,2.013,0.01234
390,2.002,0.00967
395,1.992,0.00752
400,1.982,0.00588
405,1.973,0.00474
410,1.963,0.00408
415,1.954,0.00391
420,1.946,0.00406
425,1.939,0.00422
430,1.931,0.00439
435,1.925,0.00456
440,1.918,0.00473
445,1.911,0.00491
450,1.905,0.0051
455,1.899,0.00528
460,1.893,0.00548
465,1.887,0.00568
470,1.882,0.00588
475,1.876,0.00609
480,1.871,0.0063
485,1.865,0.00651
490,1.86,0.00674
495,1.855,0.00696
500,1.85,0.0072
505,1.845,0.00743
510,1.84,0.00768
515,1.835,0.00793
520,1.83,0.00818
525,1.825,0.00844
530,1.82,0.00871
535,1.815,0.00898
540,1.811,0.00926
545,1.806,0.00954
550,1.801,0.00983
555,1.796,0.01013
560,1.792,0.01043
565,1.787,0.01074
570,1.783,0.01105
575,1.778,0.01137
580,1.773,0.0117
585,1.769,0.01204
590,1.764,0.01238
595,1.76,0.01273
600,1.755,0.01309
605,1.751,0.01345
610,1.746,0.01382
615,1.741,0.0142
620,1.737,0.01459
625,1.732,0.01498
630,1.728,0.01538
635,1.723,0.01579
640,1.719,0.01621
645,1.714,0.01664
650,1.709,0.01707
655,1.705,0.01751
660,1.7,0.01797
665,1.695,0.01843
670,1.691,0.0189
675,1.686,0.01938
680,1.681,0.01986
685,1.677,0.02036
690,1.672,0.02087
695,1.667,0.02138
700,1.662,0.02191
705,1.657,0.02244
710,1.653,0.02299
715,1.648,0.02355
720,1.643,0.02411
725,1.638,0.02469
730,1.633,0.02528
735,1.628,0.02588
740,1.623,0.02649
745,1.618,0.02711
750,1.613,0.02774
755,1.608,0.02839
760,1.603,0.02905
765,1.598,0.02972
770,1.592,0.0304
775,1.587,0.03109
780,1.582,0.0318
785,1.577,0.03252
790,1.571,0.03326
795,1.566,0.034
800,1.561,0.03476
805,1.555,0.03554
810,1.55,0.03633
815,1.544,0.03714
820,1.539,0.03795
825,1.533,0.03879
830,1.528,0.03964
835,1.522,0.0405
840,1.516,0.04139
845,1.511,0.04229
850,1.505,0.0432
855,1.499,0.04413
860,1.493,0.04508
865,1.487,0.04605
870,1.482,0.04704
875,1.476,0.04804
880,1.47,0.04906
885,1.463,0.05011
890,1.457,0.05117
895,1.451,0.05225
900,1.445,0.05336
905,1.439,0.05448
910,1.432,0.05563
915,1.426,0.05679
920,1.42,0.05799
925,1.413,0.0592
930,1.407,0.06044
935,1.4,0.0617
940,1.393,0.06298
945,1.387,0.0643
950,1.38,0.06563
955,1.373,0.067
960,1.366,0.06839
965,1.359,0.06981
970,1.352,0.07126
975,1.345,0.07274
980,1.338,0.07424
985,1.331,0.07578
990,1.324,0.07735
995,1.317,0.07896
1000,1.309,0.08059
1005,1.302,0.08227
1010,1.294,0.08397
1015,1.287,0.08572
1020,1.279,0.0875
1025,1.271,0.08932
1030,1.264,0.09118
1035,1.256,0.09308
1040,1.248,0.09502
1045,1.24,0.09701
1050,1.232,0.09904
1055,1.224,0.1011
1060,1.215,0.1032
1065,1.207,0.1054
1070,1.199,0.1077
1075,1.19,0.1099
1080,1.182,0.1123
1085,1.173,0.1147
1090,1.164,0.1171
1095,1.155,0.1196
1100,1.147,0.1222
1105,1.138,0.1248
1110,1.128,0.1275
1115,1.119,0.1303
1120,1.11,0.1331
1125,1.101,0.1361
1130,1.091,0.1391
1135,1.081,0.1422
1140,1.072,0.1453
1145,1.062,0.1486
1150,1.052,0.1519
1155,1.042,0.1554
1160,1.032,0.1589
1165,1.022,0.1626
1170,1.011,0.1663
1175,1.001,0.1702
1180,0.9904,0.1742
1185,0.9797,0.1783
1190,0.9689,0.1826
1195,0.958,0.187
1200,0.9469,0.1915
1205,0.9358,0.1962
1210,0.9245,0.2011
1215,0.9131,0.2061
1220,0.9016,0.2113
1225,0.89,0.2166
1230,0.8782,0.2222
1235,0.8664,0.228
1240,0.8544,0.2339
1245,0.8423,0.2401
1250,0.8301,0.2466
1255,0.8178,0.2533
1260,0.8054,0.2602
1265,0.7929,0.2674
1270,0.7803,0.2749
1275,0.7676,0.2828
1280,0.7549,0.2909
1285,0.7421,0.2993
1290,0.7293,0.3081
1295,0.7165,0.3172
1300,0.7036,0.3267
1305,0.6908,0.3366
1310,0.678,0.3468
1315,0.6653,0.3575
1320,0.6527,0.3685
1325,0.6401,0.3799
1330,0.6278,0.3918
1335,0.6155,0.404
1340,0.6035,0.4166
1345,0.5918,0.4296
1350,0.5802,0.443
1355,0.569,0.4567
1360,0.5581,0.4707
1365,0.5475,0.485
1370,0.5373,0.4996
1375,0.5274,0.5145
1380,0.518,0.5296
1385,0.5089,0.5448
1390,0.5002,0.5602
1395,0.4919,0.5757
1400,0.484,0.5914
1405,0.4764,0.6071
1410,0.4693,0.6228
1415,0.4625,0.6386
1420,0.4561,0.6543
1425,0.45,0.6701
1430,0.4443,0.6858
1435,0.4389,0.7014
1440,0.4337,0.717
1445,0.4289,0.7326
1450,0.4244,0.748
1455,0.4201,0.7634
1460,0.416,0.7786
1465,0.4122,0.7938
1470,0.4086,0.8088
1475,0.4052,0.8238
1480,0.4021,0.8386
1485,0.3991,0.8533
