Wavelength (nm),ITOsput6pt1E20_n,ITOsput6pt1E20_k
1490,0.3963,0.8679
1495,0.3936,0.8824
1500,0.3911,0.8968
1505,0.3888,0.9111
1510,0.3866,0.9253
1515,0.3846,0.9393
1520,0.3826,0.9533
1525,0.3808,0.9671
1530,0.3791,0.9808
1535,0.3775,0.9944
1540,0.3761,1.008
1545,0.3747,1.021
1550,0.3734,1.035
1555,0.3722,1.048
1560,0.3711,1.061
1565,0.3701,1.074
1570,0.3691,1.087
1575,0.3682,1.1
1580,0.3674,1.113
1585,0.3667,1.125
1590,0.366,1.138
1595,0.3654,1.15
1600,0.3648,1.163
1605,0.3643,1.175
1610,0.3639,1.187
1615,0.3635,1.199
1620,0.3631,1.212
1625,0.3628,1.224
1630,0.3626,1.235
1635,0.3623,1.247
1640,0.3622,1.259
1645,0.3621,1.271
1650,0.362,1.283
1655,0.3619,1.294
1660,0.3619,1.306
1665,0.3619,1.317
1670,0.362,1.329
1675,0.3621,1.34
1680,0.3622,1.351
1685,0.3624,1.363
1690,0.3625,1.374
1695,0.3628,1.385
1700,0.363,1.396
1705,0.3633,1.407
1710,0.3636,1.418
1715,0.3639,1.429
1720,0.3642,1.44
1725,0.3646,1.451
1730,0.365,1.461
1735,0.3654,1.472
1740,0.3658,1.483
1745,0.3663,1.494
1750,0.3668,1.504
1755,0.3673,1.515
1760,0.3678,1.525
1765,0.3683,1.536
1770,0.3689,1.546
1775,0.3695,1.556
1780,0.3701,1.567
1785,0.3707,1.577
1790,0.3713,1.587
1795,0.3719,1.598
1800,0.3726,1.608
1805,0.3733,1.618
1810,0.374,1.628
1815,0.3747,1.638
1820,0.3754,1.648
1825,0.3761,1.658
1830,0.3769,1.668
1835,0.3777,1.678
1840,0.3784,1.688
1845,0.3792,1.698
1850,0.38,1.708
1855,0.3809,1.717
1860,0.3817,1.727
1865,0.3825,1.737
1870,0.3834,1.747
1875,0.3843,1.756
1880,0.3851,1.766
1885,0.386,1.776
1890,0.3869,1.785
1895,0.3878,1.795
1900,0.3888,1.804
1905,0.3897,1.814
1910,0.3906,1.823
1915,0.3916,1.833
1920,0.3926,1.842
1925,0.3935,1.852
1930,0.3945,1.861
1935,0.3955,1.87
1940,0.3965,1.88
1945,0.3975,1.889
1950,0.3986,1.898
1955,0.3996,1.908
1960,0.4006,1.917
1965,0.4017,1.926
1970,0.4028,1.935
1975,0.4038,1.944
1980,0.4049,1.953
1985,0.406,1.963
1990,0.4071,1.972
1995,0.4082,1.981
2000,0.4093,1.99
