"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
586,1.62822,586,0,0,,
588,1.62789,588,0,0,,
590,1.62757,590,0,0,,
592,1.62726,592,0,0,,
594,1.62695,594,0,0,,
596,1.62664,596,0,0,,
598,1.62634,598,0,0,,
600,1.62604,600,0,0,,
602,1.62574,602,0,0,,
604,1.62545,604,0,0,,
606,1.62516,606,0,0,,
608,1.62488,608,0,0,,
610,1.6246,610,0,0,,
612,1.62432,612,0,0,,
614,1.62405,614,0,0,,
616,1.62378,616,0,0,,
618,1.62351,618,0,0,,
620,1.62325,620,0,0,,
622,1.62298,622,0,0,,
624,1.62273,624,0,0,,
626,1.62247,626,0,0,,
628,1.62222,628,0,0,,
630,1.62197,630,0,0,,
632,1.62173,632,0,0,,
634,1.62149,634,0,0,,
636,1.62125,636,0,0,,
638,1.62101,638,0,0,,
640,1.62078,640,0,0,,
642,1.62054,642,0,0,,
644,1.62032,644,0,0,,
646,1.62009,646,0,0,,
648,1.61987,648,0,0,,
650,1.61965,650,0,0,,
652,1.61943,652,0,0,,
654,1.61921,654,0,0,,
656,1.619,656,0,0,,
658,1.61879,658,0,0,,
660,1.61858,660,0,0,,
662,1.61837,662,0,0,,
664,1.61817,664,0,0,,
666,1.61796,666,0,0,,
668,1.61777,668,0,0,,
670,1.61757,670,0,0,,
672,1.61737,672,0,0,,
674,1.61718,674,0,0,,
676,1.61699,676,0,0,,
678,1.6168,678,0,0,,
680,1.61661,680,0,0,,
682,1.61643,682,0,0,,
684,1.61624,684,0,0,,
686,1.61606,686,0,0,,
688,1.61588,688,0,0,,
690,1.6157,690,0,0,,
692,1.61553,692,0,0,,
694,1.61535,694,0,0,,
696,1.61518,696,0,0,,
698,1.61501,698,0,0,,
700,1.61484,700,0,0,,
702,1.61467,702,0,0,,
704,1.61451,704,0,0,,
706,1.61434,706,0,0,,
708,1.61418,708,0,0,,
710,1.61402,710,0,0,,
712,1.61386,712,0,0,,
714,1.6137,714,0,0,,
716,1.61355,716,0,0,,
718,1.6134,718,0,0,,
720,1.61324,720,0,0,,
722,1.61309,722,0,0,,
724,1.61294,724,0,0,,
726,1.61279,726,0,0,,
728,1.61265,728,0,0,,
730,1.6125,730,0,0,,
732,1.61236,732,0,0,,
734,1.61221,734,0,0,,
736,1.61207,736,0,0,,
738,1.61193,738,0,0,,
740,1.61179,740,0,0,,
742,1.61165,742,0,0,,
744,1.61152,744,0,0,,
746,1.61138,746,0,0,,
748,1.61125,748,0,0,,
750,1.61111,750,0,0,,
752,1.61098,752,0,0,,
754,1.61085,754,0,0,,
756,1.61073,756,0,0,,
758,1.6106,758,0,0,,
760,1.61047,760,0,0,,
762,1.61035,762,0,0,,
764,1.61022,764,0,0,,
766,1.6101,766,0,0,,
768,1.60997,768,0,0,,
770,1.60985,770,0,0,,
772,1.60973,772,0,0,,
774,1.60961,774,0,0,,
776,1.6095,776,0,0,,
778,1.60938,778,0,0,,
780,1.60926,780,0,0,,
782,1.60915,782,0,0,,
784,1.60904,784,0,0,,
786,1.60892,786,0,0,,
788,1.60881,788,0,0,,
790,1.6087,790,0,0,,
792,1.60859,792,0,0,,
794,1.60848,794,0,0,,
796,1.60837,796,0,0,,
798,1.60826,798,0,0,,
800,1.60816,800,0,0,,
802,1.60805,802,0,0,,
804,1.60795,804,0,0,,
806,1.60784,806,0,0,,
808,1.60774,808,0,0,,
810,1.60764,810,0,0,,
812,1.60754,812,0,0,,
814,1.60744,814,0,0,,
816,1.60734,816,0,0,,
818,1.60724,818,0,0,,
820,1.60714,820,0,0,,
822,1.60704,822,0,0,,
824,1.60695,824,0,0,,
826,1.60685,826,0,0,,
828,1.60676,828,0,0,,
830,1.60666,830,0,0,,
832,1.60657,832,0,0,,
834,1.60648,834,0,0,,
836,1.60639,836,0,0,,
838,1.6063,838,0,0,,
840,1.60621,840,0,0,,
842,1.60612,842,0,0,,
844,1.60603,844,0,0,,
846,1.60594,846,0,0,,
848,1.60585,848,0,0,,
850,1.60576,850,0,0,,
852,1.60568,852,0,0,,
854,1.60559,854,0,0,,
856,1.60551,856,0,0,,
858,1.60542,858,0,0,,
860,1.60534,860,0,0,,
862,1.60526,862,0,0,,
864,1.60518,864,0,0,,
866,1.60509,866,0,0,,
868,1.60501,868,0,0,,
870,1.60493,870,0,0,,
872,1.60485,872,0,0,,
874,1.60477,874,0,0,,
876,1.6047,876,0,0,,
878,1.60462,878,0,0,,
880,1.60454,880,0,0,,
882,1.60446,882,0,0,,
884,1.60439,884,0,0,,
886,1.60431,886,0,0,,
888,1.60424,888,0,0,,
890,1.60416,890,0,0,,
892,1.60409,892,0,0,,
894,1.60401,894,0,0,,
896,1.60394,896,0,0,,
898,1.60387,898,0,0,,
900,1.6038,900,0,0,,
902,1.60372,902,0,0,,
904,1.60365,904,0,0,,
906,1.60358,906,0,0,,
908,1.60351,908,0,0,,
910,1.60345,910,0,0,,
912,1.60338,912,0,0,,
914,1.60331,914,0,0,,
916,1.60324,916,0,0,,
918,1.60317,918,0,0,,
920,1.60311,920,0,0,,
922,1.60304,922,0,0,,
924,1.60297,924,0,0,,
926,1.60291,926,0,0,,
928,1.60284,928,0,0,,
930,1.60278,930,0,0,,
932,1.60271,932,0,0,,
934,1.60265,934,0,0,,
936,1.60259,936,0,0,,
938,1.60253,938,0,0,,
940,1.60246,940,0,0,,
942,1.6024,942,0,0,,
944,1.60234,944,0,0,,
946,1.60228,946,0,0,,
948,1.60222,948,0,0,,
950,1.60216,950,0,0,,
952,1.6021,952,0,0,,
954,1.60204,954,0,0,,
956,1.60198,956,0,0,,
958,1.60192,958,0,0,,
960,1.60186,960,0,0,,
962,1.6018,962,0,0,,
964,1.60175,964,0,0,,
966,1.60169,966,0,0,,
968,1.60163,968,0,0,,
970,1.60158,970,0,0,,
972,1.60152,972,0,0,,
974,1.60147,974,0,0,,
976,1.60141,976,0,0,,
978,1.60136,978,0,0,,
980,1.6013,980,0,0,,
982,1.60125,982,0,0,,
984,1.60119,984,0,0,,
986,1.60114,986,0,0,,
988,1.60109,988,0,0,,
990,1.60103,990,0,0,,
992,1.60098,992,0,0,,
994,1.60093,994,0,0,,
996,1.60088,996,0,0,,
998,1.60083,998,0,0,,
1000,1.60078,1000,0,0,,
1002,1.60073,1002,0,0,,
1004,1.60067,1004,0,0,,
1006,1.60063,1006,0,0,,
1008,1.60058,1008,0,0,,
1010,1.60053,1010,0,0,,
1012,1.60048,1012,0,0,,
1014,1.60043,1014,0,0,,
1016,1.60038,1016,0,0,,
1018,1.60033,1018,0,0,,
1020,1.60028,1020,0,0,,
1022,1.60024,1022,0,0,,
1024,1.60019,1024,0,0,,
1026,1.60014,1026,0,0,,
1028,1.6001,1028,0,0,,
1030,1.60005,1030,0,0,,
1032,1.6,1032,0,0,,
1034,1.59996,1034,0,0,,
1036,1.59991,1036,0,0,,
1038,1.59987,1038,0,0,,
1040,1.59982,1040,0,0,,
1042,1.59978,1042,0,0,,
1044,1.59973,1044,0,0,,
1046,1.59969,1046,0,0,,
1048,1.59964,1048,0,0,,
1050,1.5996,1050,0,0,,
1052,1.59956,1052,0,0,,
1054,1.59951,1054,0,0,,
1056,1.59947,1056,0,0,,
1058,1.59943,1058,0,0,,
1060,1.59939,1060,0,0,,
1062,1.59934,1062,0,0,,
1064,1.5993,1064,0,0,,
1066,1.59926,1066,0,0,,
1068,1.59922,1068,0,0,,
1070,1.59918,1070,0,0,,
