Wavelength (nm),ITOsput2E20_n,ITOsput2E20_k
1635,1.493,0.1122
1640,1.489,0.1135
1645,1.485,0.1149
1650,1.481,0.1162
1655,1.477,0.1175
1660,1.473,0.1189
1665,1.47,0.1203
1670,1.466,0.1216
1675,1.462,0.123
1680,1.458,0.1245
1685,1.454,0.1259
1690,1.45,0.1273
1695,1.446,0.1288
1700,1.442,0.1303
1705,1.438,0.1318
1710,1.434,0.1333
1715,1.43,0.1348
1720,1.426,0.1363
1725,1.422,0.1379
1730,1.418,0.1395
1735,1.414,0.1411
1740,1.409,0.1427
1745,1.405,0.1443
1750,1.401,0.146
1755,1.397,0.1476
1760,1.393,0.1493
1765,1.389,0.151
1770,1.384,0.1528
1775,1.38,0.1545
1780,1.376,0.1563
1785,1.371,0.158
1790,1.367,0.1599
1795,1.363,0.1617
1800,1.358,0.1635
1805,1.354,0.1654
1810,1.35,0.1673
1815,1.345,0.1692
1820,1.341,0.1711
1825,1.336,0.1731
1830,1.332,0.1751
1835,1.327,0.1771
1840,1.323,0.1791
1845,1.318,0.1811
1850,1.314,0.1832
1855,1.309,0.1853
1860,1.305,0.1874
1865,1.3,0.1896
1870,1.295,0.1917
1875,1.291,0.1939
1880,1.286,0.1962
1885,1.281,0.1984
1890,1.277,0.2007
1895,1.272,0.203
1900,1.267,0.2053
1905,1.262,0.2077
1910,1.258,0.2101
1915,1.253,0.2125
1920,1.248,0.215
1925,1.243,0.2175
1930,1.238,0.22
1935,1.233,0.2225
1940,1.228,0.2251
1945,1.223,0.2277
1950,1.218,0.2303
1955,1.213,0.233
1960,1.208,0.2357
1965,1.203,0.2385
1970,1.198,0.2413
1975,1.193,0.2441
1980,1.188,0.2469
1985,1.183,0.2498
1990,1.178,0.2527
1995,1.173,0.2557
2000,1.168,0.2587
