Wavelength (nm),Pk17eVCsFA_n,Pk17eVCsFA_k
2066.33333333333,1.97103,0
1907.38461538462,1.97621,0
1771.14285714286,1.98166,0
1653.06666666667,1.9874,0
1549.75,1.99347,0
1458.58823529412,1.9999,0
1377.55555555556,2.00672,0
1305.05263157895,2.01398,0
1239.8,2.02175,0
1180.7619047619,2.0301,0
1127.09090909091,2.0391,0
1078.08695652174,2.04887,0
1033.16666666667,2.05955,0
991.84,2.07131,0
953.692307692308,2.08441,0
918.37037037037,2.09915,0
885.571428571429,2.11599,0
855.034482758621,2.13552,0
826.533333333333,2.1586,0
799.870967741935,2.18633,0
774.875,2.22012,0
751.393939393939,2.26131,0.000348
729.294117647059,2.30997,0.00842
708.457142857143,2.36236,0.03217
688.777777777778,2.40821,0.07535
670.162162162162,2.43448,0.13146
652.526315789474,2.4377,0.1843
635.794871794872,2.4281,0.22182
619.9,2.41845,0.24386
604.780487804878,2.41564,0.25657
590.380952380952,2.42125,0.26609
576.651162790698,2.43445,0.27679
563.545454545455,2.45364,0.29166
551.022222222222,2.47689,0.31289
539.04347826087,2.50186,0.34225
527.574468085106,2.52552,0.38098
516.583333333333,2.54402,0.42935
506.040816326531,2.55293,0.48584
495.92,2.54832,0.54645
486.196078431373,2.52855,0.60493
476.846153846154,2.4957,0.65447
467.849056603774,2.45547,0.69037
459.185185185185,2.41497,0.71186
450.836363636364,2.38004,0.72178
442.785714285714,2.35385,0.72482
435.017543859649,2.33698,0.72568
427.51724137931,2.3283,0.72814
420.271186440678,2.32579,0.73481
413.266666666667,2.32716,0.74729
406.491803278689,2.33004,0.76642
399.935483870968,2.33213,0.79241
393.587301587302,2.33119,0.82493
387.4375,2.32514,0.8631
381.476923076923,2.31212,0.90551
375.69696969697,2.29067,0.95018
370.089552238806,2.25995,0.99471
364.647058823529,2.21989,1.03642
359.36231884058,2.1713,1.07268
354.228571428571,2.11585,1.10125
349.239436619718,2.05582,1.1206
344.388888888889,1.99379,1.13004
339.671232876712,1.93228,1.12977
335.081081081081,1.87345,1.12068
330.613333333333,1.81893,1.10417
326.263157894737,1.76974,1.08183
322.025974025974,1.72637,1.05526
317.897435897436,1.68887,1.02591
313.873417721519,1.65698,0.99503
309.95,1.63027,0.96358
306.026582278481,1.60356,0.93213
302.103164556962,1.57685,0.90068
298.179746835443,1.55014,0.86923
294.256329113924,1.52343,0.83778
290.332911392405,1.49672,0.80633
286.409493670886,1.47001,0.77488
282.486075949367,1.4433,0.74343
278.562658227848,1.41659,0.71198
