Wavelength (nm),PkCsCl8-13_n,PkCsCl8-13_k
2066.66666666667,2.087475,0
1907.69230769231,2.092407,0
1771.42857142857,2.097551,0
1653.33333333333,2.102922,0
1550,2.108535,0
1458.82352941176,2.114408,0
1377.77777777778,2.120559,0
1305.26315789474,2.127009,0
1240,2.13378,0
1180.95238095238,2.140899,0
1127.27272727273,2.148394,0
1078.26086956522,2.1563,0
1033.33333333333,2.164657,0
992,2.173512,0
953.846153846154,2.182931,0
918.518518518518,2.192997,0
885.714285714286,2.203843,0
855.172413793103,2.215692,0
826.666666666667,2.228975,0
800,2.244674,0
775,2.265399,0
751.515151515152,2.299277,0
729.411764705882,2.370893,0
708.571428571429,2.47109,0.064629
688.888888888889,2.45245,0.15878
670.27027027027,2.419906,0.173308
652.631578947368,2.415114,0.169472
635.897435897436,2.42503,0.16635
620,2.4427,0.1667
604.878048780488,2.46524,0.17097
590.47619047619,2.491266,0.179504
576.744186046512,2.51987,0.192864
563.636363636364,2.550142,0.211815
551.111111111111,2.580876,0.237225
539.130434782609,2.610359,0.269844
527.659574468085,2.636278,0.309945
516.666666666667,2.655862,0.356845
506.122448979592,2.666408,0.408465
496,2.66619,0.461275
486.274509803922,2.655392,0.510947
476.923076923077,2.636434,0.553647
467.924528301887,2.613304,0.587308
459.259259259259,2.590226,0.612115
450.909090909091,2.570459,0.63004
442.857142857143,2.555771,0.643903
435.087719298246,2.546538,0.656544
427.586206896552,2.542146,0.670343
420.338983050847,2.541393,0.687071
413.333333333333,2.542782,0.707907
406.55737704918,2.54469,0.733513
400,2.545461,0.764099
393.650793650794,2.543473,0.799454
387.5,2.537196,0.838959
381.538461538462,2.525282,0.881599
375.757575757576,2.506664,0.925989
370.149253731343,2.480673,0.970442
364.705882352941,2.447142,1.013092
359.420289855072,2.406463,1.052062
354.285714285714,2.359572,1.085655
349.295774647887,2.307857,1.112534
344.444444444444,2.253006,1.13185
339.72602739726,2.196806,1.143292
335.135135135135,2.140962,1.147061
330.666666666667,2.086947,1.143773
326.315789473684,2.035911,1.134328
322.077922077922,1.988657,1.11978
317.948717948718,1.945656,1.101212
313.924050632911,1.907097,1.079658
310,1.872949,1.056039
