"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
775,1.48537362,775,1.37433e-8,0.0022284309840557735,,
780,1.48529434,780,1.43074e-8,0.0023050268067677238,,
785,1.48521733,785,2.08241e-8,0.003333545965738559,,
790,1.48514259,790,2.8508e-8,0.004534710043976599,,
795,1.48507,795,3.08313e-8,0.004873428205314364,,
800,1.4849993,800,3.88287e-8,0.006099197933422101,,
805,1.48493075,805,3.70256e-8,0.005779843625080957,,
810,1.48486412,810,3.55012e-8,0.005507669585857875,,
815,1.4847995,815,3.46333e-8,0.005340059918997368,,
820,1.48473668,820,3.44948e-8,0.005286273671563375,,
825,1.48467565,825,3.40203e-8,0.005181959978323434,,
830,1.48461628,830,3.11922e-8,0.004722563198520653,,
835,1.4845587,835,3.21556e-8,0.004839271699725602,,
840,1.48450279,840,2.36353e-8,0.003535832611685278,,
845,1.48444855,845,4.62035e-8,0.0068711278660419425,,
850,1.48439586,850,4.8876e-8,0.007225810942910811,,
855,1.4843446,855,5.99889e-8,0.008816874270733696,,
860,1.48429489,860,8.70334e-8,0.01271737163055544,,
865,1.48424661,865,1.29017e-7,0.01874306864222864,,
870,1.48419976,870,1.67409e-7,0.024180730323899478,,
875,1.48415422,875,2.35721e-7,0.03385322797242696,,
880,1.48411012,880,3.02145e-7,0.043146205105404005,,
885,1.4840672,885,3.84535e-7,0.05460123530161135,,
890,1.4840256,890,4.45956e-7,0.06296683565951865,,
895,1.48398519,895,4.83752e-7,0.06792186499930143,,
900,1.483946,900,4.65405e-7,0.06498279684195368,,
905,1.483908,905,4.10574e-7,0.05701022153171164,,
910,1.483871,910,3.28819e-7,0.04540726834113152,,
915,1.483835,915,2.60038e-7,0.03571293859908995,,
920,1.4838,920,1.90089e-7,0.025964443736010007,,
925,1.483766,925,1.46618e-7,0.019918444613363385,,
930,1.483734,930,1.05195e-7,0.01421418663201627,,
935,1.483702,935,8.61135e-8,0.011573627335824798,,
940,1.483671,940,6.59524e-8,0.008816832992621936,,
945,1.483641,945,5.21563e-8,0.00693561265263176,,
950,1.483612,950,5.11563e-8,0.006766831842729918,,
955,1.483584,955,5.63263e-8,0.007411698022362086,,
960,1.483556,960,6.96728e-8,0.009120148193126287,,
965,1.48353,965,9.43085e-8,0.012280990291028932,,
970,1.483504,970,1.27694e-7,0.016542784837422476,,
975,1.483479,975,1.65374e-7,0.02131436896388753,,
980,1.483454,980,2.115e-7,0.0271202794381323,,
985,1.483431,985,2.67591e-7,0.03413855511743133,,
990,1.483408,990,3.22505e-7,0.04093653893923137,,
995,1.483386,995,3.75145e-7,0.0473790060715957,,
1000,1.483364,1000,4.23184e-7,0.05317886982066973,,
1005,1.483343,1005,4.34638e-7,0.05434648946352082,,
1010,1.483323,1010,4.30744e-7,0.053592957860510174,,
1015,1.483303,1015,4.10275e-7,0.05079475570252423,,
1020,1.483284,1020,3.91395e-7,0.04821975124124616,,
1025,1.483266,1025,3.80703e-7,0.04667370723900859,,
1030,1.483248,1030,3.63209e-7,0.044312804897774574,,
1035,1.483231,1035,3.43384e-7,0.04169169668638754,,
1040,1.483214,1040,3.05379e-7,0.036899093190792216,,
1045,1.483197,1045,2.65518e-7,0.03192916356730544,,
1050,1.483182,1050,2.30943e-7,0.027639193607542384,,
1055,1.483166,1055,2.08358e-7,0.024818045957029845,,
1060,1.483151,1060,1.7991e-7,0.021328450351220364,,
1065,1.483137,1065,1.57133e-7,0.01854076538728732,,
1070,1.483123,1070,1.42819e-7,0.01677305125955292,,
1075,1.483109,1075,1.32434e-7,0.015481067218065515,,
1080,1.483096,1080,1.36573e-7,0.015890990128841438,,
1085,1.483083,1085,1.46237e-7,0.016937035387392094,,
1090,1.483071,1090,1.70769e-7,0.019687582967371577,,
1095,1.483059,1095,2.15286e-7,0.0247065174802094,,
1100,1.483047,1100,2.99303e-7,0.03419229476354131,,
1105,1.483036,1105,4.34374e-7,0.049398232300829424,,
1110,1.483025,1110,6.28457e-7,0.07114796015484975,,
1115,1.483014,1115,8.91956e-7,0.10052600598835293,,
1120,1.483004,1120,0.00000122825,0.13780932774184512,,
1125,1.482994,1125,0.00000168291,0.18798285129432174,,
1130,1.482984,1130,0.00000220266,0.24495081325154314,,
1135,1.482974,1135,0.00000297071,0.3289078665002902,,
1140,1.482965,1140,0.00000335021,0.36929807452572144,,
1145,1.482957,1145,0.00000303647,0.3332524661954865,,
1150,1.482948,1150,0.00000321133,0.35091098213052213,,
1155,1.48294,1155,0.00000309418,0.3366459967752196,,
1160,1.482932,1160,0.0000027693,0.3000004322615936,,
1165,1.482924,1165,0.00000278123,0.2999997162555722,,
1170,1.482916,1170,0.00000247894,0.2662502459039276,,
1175,1.482909,1175,0.00000342605,0.36640863015595954,,
1180,1.482902,1180,0.00000280964,0.29921167400786536,,
1185,1.482895,1185,0.00000386678,0.41005392881174485,,
1190,1.482888,1190,0.00000284092,0.30000045046844753,,
1195,1.482882,1195,0.00000349334,0.36735234411686585,,
1200,1.482875,1200,0.000003,0.3141592653589793,,
